Date,Food,Food_Return（小数）,Clths,Clths_Return（小数）,Hlth,Hlth_Return（小数）,Chems,Chems_Return（小数）,Cnstr,Cnstr_Return（小数）,Steel,Steel_Return（小数）,Autos,Autos_Return（小数）,Oil,Oil_Return（小数）,Util,Util_Return（小数）,Telcm,Telcm_Return（小数）,Servs,Servs_Return（小数）,BusEq,BusEq_Return（小数）,Paper,Paper_Return（小数）,Trans,Trans_Return（小数）,Whlsl,Whlsl_Return（小数）,Rtail,Rtail_Return（小数）,Fin,Fin_Return（小数）,Mines,Mines_Return（小数）,ElcEq,ElcEq_Return（小数）,Meals,Meals_Return（小数）
2017-01-03,0.71,0.0070999999999999995,1.41,0.0141,1.3,0.013000000000000001,0.55,0.0055000000000000005,1.03,0.0103,1.83,0.0183,1.78,0.0178,1.18,0.0118,0.04,0.0004,1.38,0.0138,1.16,0.0116,0.54,0.0054,0.4,0.004,-0.12,-0.0012,1.55,0.0155,0.27,0.0027,0.93,0.009300000000000001,1.73,0.0173,1.63,0.0163,-0.8,-0.008
2017-01-04,0.02,0.0002,1.74,0.0174,1.09,0.0109,1.33,0.013300000000000001,1.51,0.0151,3.48,0.0348,3.29,0.0329,-0.3,-0.003,0.49,0.0049,0.64,0.0064,0.89,0.0089,0.34,0.0034000000000000002,1.08,0.0108,1.16,0.0116,1.1,0.011000000000000001,0.86,0.0086,1.07,0.010700000000000001,2.91,0.0291,0.61,0.0060999999999999995,0.7,0.006999999999999999
2017-01-05,-0.03,-0.0003,-0.8,-0.008,0.41,0.0040999999999999995,-0.65,-0.006500000000000001,-0.72,-0.0072,-0.65,-0.006500000000000001,-1.59,-0.0159,-0.45,-0.0045000000000000005,0.1,0.001,-0.11,-0.0011,0.28,0.0028000000000000004,-0.1,-0.001,-0.26,-0.0026,-0.76,-0.0076,-0.79,-0.0079,-0.04,-0.0004,-0.86,-0.0086,0.92,0.0092,-0.75,-0.0075,0.09,0.0009
2017-01-06,-0.13,-0.0013,0.5,0.005,0.27,0.0027,-0.03,-0.0003,-0.93,-0.009300000000000001,-1.07,-0.010700000000000001,-0.02,-0.0002,-0.26,-0.0026,0.27,0.0027,-0.5,-0.005,0.95,0.0095,0.7,0.006999999999999999,0.24,0.0024,0.46,0.0046,0.05,0.0005,0.11,0.0011,0.4,0.004,-1.37,-0.0137,-0.11,-0.0011,0.46,0.0046
2017-01-09,-0.56,-0.005600000000000001,-0.66,-0.0066,0.77,0.0077,0.05,0.0005,-1.1,-0.011000000000000001,-2.02,-0.0202,-0.64,-0.0064,-1.69,-0.0169,-1.35,-0.013500000000000002,-0.56,-0.005600000000000001,0.06,0.0006,0.29,0.0029,-0.7,-0.006999999999999999,-0.49,-0.0049,-0.49,-0.0049,0.04,0.0004,-0.79,-0.0079,-0.69,-0.0069,-1.9,-0.019,0.19,0.0019
2017-01-10,-0.59,-0.0059,0.49,0.0049,0.29,0.0029,-0.04,-0.0004,0.92,0.0092,2.87,0.0287,1.75,0.0175,-0.69,-0.0069,-0.52,-0.0052,0.22,0.0022,-0.12,-0.0012,0.37,0.0037,0.25,0.0025,0.93,0.009300000000000001,0.41,0.0040999999999999995,0.37,0.0037,0.51,0.0051,2.06,0.0206,1.08,0.0108,0.08,0.0008
2017-01-11,0.5,0.005,-1.04,-0.0104,-1.26,-0.0126,1.07,0.010700000000000001,0.75,0.0075,0.39,0.0039000000000000003,0.06,0.0006,1.15,0.0115,0.98,0.0098,0.13,0.0013,0.81,0.008100000000000001,0.32,0.0032,0.56,0.005600000000000001,0.78,0.0078000000000000005,-0.07,-0.0007000000000000001,0.13,0.0013,0.48,0.0048,0.02,0.0002,1.14,0.011399999999999999,0.33,0.0033
2017-01-12,-0.12,-0.0012,-0.56,-0.005600000000000001,0.04,0.0004,0.0,0.0,-0.49,-0.0049,-2.2,-0.022000000000000002,-0.66,-0.0066,-0.52,-0.0052,0.13,0.0013,-0.23,-0.0023,-0.17,-0.0017000000000000001,-0.47,-0.004699999999999999,-0.31,-0.0031,-0.37,-0.0037,-0.11,-0.0011,0.22,0.0022,-0.74,-0.0074,-0.17,-0.0017000000000000001,-0.18,-0.0018,0.1,0.001
2017-01-13,0.05,0.0005,0.15,0.0015,0.33,0.0033,-0.16,-0.0016,0.81,0.008100000000000001,0.33,0.0033,0.9,0.009000000000000001,-0.23,-0.0023,-0.06,-0.0006,0.43,0.0043,0.43,0.0043,0.34,0.0034000000000000002,0.09,0.0009,0.54,0.0054,0.63,0.0063,-0.14,-0.0014000000000000002,0.51,0.0051,0.65,0.006500000000000001,0.16,0.0016,-0.14,-0.0014000000000000002
2017-01-17,0.77,0.0077,1.5,0.015,-0.85,-0.0085,-0.75,-0.0075,-1.23,-0.0123,-1.26,-0.0126,-0.61,-0.0060999999999999995,0.59,0.0059,0.95,0.0095,0.22,0.0022,-0.52,-0.0052,-0.62,-0.0062,-0.06,-0.0006,-1.26,-0.0126,-0.27,-0.0027,0.6,0.006,-2.16,-0.0216,0.01,0.0001,-1.35,-0.013500000000000002,-0.06,-0.0006
2017-01-18,0.31,0.0031,-1.16,-0.0116,0.08,0.0008,0.41,0.0040999999999999995,0.31,0.0031,3.17,0.0317,0.31,0.0031,-0.44,-0.0044,-0.18,-0.0018,-0.09,-0.0009,0.24,0.0024,0.42,0.0042,0.42,0.0042,0.36,0.0036,0.87,0.0087,-0.4,-0.004,0.64,0.0064,1.48,0.0148,0.53,0.0053,0.44,0.0044
2017-01-19,-0.47,-0.004699999999999999,-0.7,-0.006999999999999999,-0.88,-0.0088,-0.71,-0.0070999999999999995,-0.59,-0.0059,-2.08,-0.0208,-0.04,-0.0004,-0.76,-0.0076,-0.82,-0.008199999999999999,0.18,0.0018,-0.32,-0.0032,-0.29,-0.0029,-0.65,-0.006500000000000001,1.57,0.015700000000000002,-1.01,-0.0101,-0.66,-0.0066,-0.44,-0.0044,-0.38,-0.0038,0.46,0.0046,-0.4,-0.004
2017-01-20,0.66,0.0066,0.55,0.0055000000000000005,-0.35,-0.0034999999999999996,0.85,0.0085,0.36,0.0036,0.7,0.006999999999999999,-0.18,-0.0018,0.66,0.0066,0.22,0.0022,0.64,0.0064,0.56,0.005600000000000001,0.29,0.0029,0.2,0.002,0.72,0.0072,0.5,0.005,-0.31,-0.0031,0.46,0.0046,1.11,0.0111,0.43,0.0043,0.17,0.0017000000000000001
2017-01-23,-0.12,-0.0012,0.03,0.0003,-0.56,-0.005600000000000001,0.03,0.0003,-0.02,-0.0002,-0.67,-0.0067,-0.31,-0.0031,-1.01,-0.0101,-0.58,-0.0058,0.23,0.0023,0.42,0.0042,-0.53,-0.0053,0.54,0.0054,-0.77,-0.0077,-0.49,-0.0049,-0.1,-0.001,-0.44,-0.0044,1.13,0.0113,-0.64,-0.0064,-0.18,-0.0018
2017-01-24,0.58,0.0058,1.0,0.01,-0.58,-0.0058,2.59,0.0259,3.68,0.0368,3.06,0.030600000000000002,1.89,0.0189,1.03,0.0103,0.43,0.0043,-0.78,-0.0078000000000000005,1.01,0.0101,1.01,0.0101,1.13,0.0113,1.35,0.013500000000000002,0.84,0.0084,0.66,0.0066,1.17,0.011699999999999999,3.12,0.031200000000000002,1.65,0.0165,0.6,0.006
