paper_stage_t,estimated_value_function_discrepancy
0,2.40616416548074e-05
1,2.5416725927839e-05
2,2.72703259785723e-05
3,2.51609463023435e-05
4,2.55601642870263e-05
5,2.36612570776852e-05
6,2.21477585772372e-05
7,2.08649231940186e-05
8,1.9756265802026e-05
9,1.97221218428199e-05
10,1.90419776223348e-05
11,1.94213705069286e-05
12,1.96043234230564e-05
13,1.72557245453705e-05
14,1.68752385863082e-05
15,1.44104632429083e-05
16,1.33973010356249e-05
17,1.31447234544189e-05
18,1.13313663894218e-05
19,1.01414172664741e-05
20,9.20430005205617e-06
21,8.46851243405894e-06
22,7.62583010094213e-06
23,6.77351737298065e-06
24,5.8526766133921e-06
25,4.97118681241701e-06
26,3.88925759391557e-06
27,2.90550054983791e-06
28,1.95384740458686e-06
29,9.92475557024509e-07
