paper_stage_t,ETO_mean,IEO_mean,IEO_minus_ETO
0,1,1,0
1,1.0013149703161,1.0013258484007,1.08780845964329e-05
2,1.00194615219832,1.00196460630192,1.84541036096775e-05
3,1.00288351376613,1.00290686471525,2.33509491127659e-05
4,1.00217150198297,1.00218972846328,1.8226480314576e-05
5,1.00178642602829,1.00180488170196,1.84556736706476e-05
6,1.00112975812251,1.00115056389745,2.08057749397916e-05
7,1.00214148088013,1.00216425676671,2.27758865891659e-05
8,1.00317331805864,1.00320007165826,2.67535996263391e-05
9,1.00175305011205,1.00177855427986,2.55041678063339e-05
10,1.00241385575301,1.00244218116873,2.83254157211754e-05
11,1.00400714312872,1.00403887026301,3.17271342946679e-05
12,1.00493565061905,1.0049749459214,3.92953023478082e-05
13,1.00546710576532,1.00550696073325,3.98549679305749e-05
14,1.00487614355076,1.00491046076413,3.43172133678848e-05
15,1.00448337947709,1.00451392980352,3.05503264268481e-05
16,1.00472664485623,1.00475679139419,3.01465379628496e-05
17,1.00560739231227,1.00564174507542,3.43527631510021e-05
18,1.00684955075073,1.00688374337496,3.41926242306556e-05
19,1.00606016428239,1.00609578775676,3.56234743710271e-05
20,1.00566958385922,1.00570202473929,3.2440880068263e-05
21,1.00671682923252,1.00674901621898,3.21869864605695e-05
22,1.00743718691052,1.00747489830758,3.77113970537746e-05
23,1.00758635892599,1.00762390071804,3.75417920503995e-05
24,1.00716681976654,1.00720313280106,3.63130345235607e-05
25,1.00676423299098,1.00680208857822,3.78555872382336e-05
26,1.00579513430555,1.00583088672369,3.57524181415769e-05
27,1.00616612451633,1.00620290876679,3.67842504593874e-05
28,1.00762300100443,1.00766087591269,3.78749082619034e-05
29,1.00669454989213,1.00673190915269,3.73592605551476e-05
30,1.00677300174335,1.00680986831577,3.68665724230777e-05
