stage_t,regret_pop_eto_mean,regret_pop_ieo_mean,regret_pop_eto_se,regret_pop_ieo_se,regret_pop_eto_ci_low,regret_pop_eto_ci_high,regret_pop_ieo_ci_low,regret_pop_ieo_ci_high,difference_pop_eto_minus_ieo
0,1.8997604768673e-06,3.847908266194596e-06,2.898726325594052e-08,7.059910862179669e-08,1.8429454408856564e-06,1.956575512848943e-06,3.7095340132958744e-06,3.986282519093318e-06,-1.9481477893272957e-06
1,1.8747510090408646e-06,3.7399747251669967e-06,2.744490105539229e-08,6.191281842983004e-08,1.8209590029722957e-06,1.9285430151094334e-06,3.6186256010445298e-06,3.8613238492894636e-06,-1.865223716126132e-06
2,1.7984212956908484e-06,3.620153340593563e-06,2.5214615460417352e-08,5.980905433498483e-08,1.7490006493884305e-06,1.8478419419932663e-06,3.5029275940969924e-06,3.7373790870901332e-06,-1.8217320449027144e-06
3,1.746872220920478e-06,3.4973016875689938e-06,2.5766469648406846e-08,6.030930952005162e-08,1.6963699404096008e-06,1.7973745014313554e-06,3.3790954409096926e-06,3.615507934228295e-06,-1.7504294666485157e-06
4,1.6831287088038882e-06,3.3916603351740935e-06,2.3971696307127096e-08,5.898382128041479e-08,1.636144184041919e-06,1.7301132335658574e-06,3.2760520454644805e-06,3.5072686248837065e-06,-1.7085316263702053e-06
5,1.5980485692096956e-06,3.1414138990684473e-06,2.2104934988028547e-08,4.969424383090607e-08,1.5547228966331596e-06,1.6413742417862316e-06,3.0440131811598714e-06,3.238814616977023e-06,-1.5433653298587517e-06
6,1.539680489421586e-06,3.119293272719315e-06,2.1971649431122903e-08,5.3576235431540054e-08,1.496616056536585e-06,1.582744922306587e-06,3.0142838512734964e-06,3.2243026941651333e-06,-1.5796127832977289e-06
7,1.4779293957842251e-06,2.9854369174154563e-06,2.141698693837524e-08,5.1528918148208853e-08,1.4359521013850096e-06,1.5199066901834406e-06,2.884440237844967e-06,3.0864335969859456e-06,-1.5075075216312312e-06
8,1.4616904333856768e-06,2.9031565982979963e-06,2.114870673737075e-08,5.7433553184212967e-08,1.4202389681804302e-06,1.5031418985909234e-06,2.7905868340569387e-06,3.0157263625390538e-06,-1.4414661649123195e-06
9,1.3789841139253476e-06,2.73056599937084e-06,1.9449956270493842e-08,4.471914601469795e-08,1.3408621996351798e-06,1.4171060282155155e-06,2.642916473182032e-06,2.818215525559648e-06,-1.3515818854454925e-06
10,1.3695515140141504e-06,2.731470810634665e-06,2.0385562283003704e-08,5.393818170632131e-08,1.3295958119394632e-06,1.4095072160888376e-06,2.6257519744902754e-06,2.837189646779055e-06,-1.3619192966205147e-06
11,1.3134770495928698e-06,2.5268292204258096e-06,1.8831897557497432e-08,4.162605476815983e-08,1.2765665303801748e-06,1.3503875688055648e-06,2.4452421530802164e-06,2.608416287771403e-06,-1.2133521708329398e-06
12,1.2674554016247489e-06,2.4683354645145162e-06,1.7667778876310858e-08,3.913241172934917e-08,1.2328265550271795e-06,1.3020842482223182e-06,2.3916359375249918e-06,2.5450349915040407e-06,-1.2008800628897674e-06
13,1.2374397196328797e-06,2.4215439257434493e-06,1.719554073481466e-08,4.099488230647177e-08,1.203736459792643e-06,1.2711429794731163e-06,2.3411939564227645e-06,2.501893895064134e-06,-1.1841042061105696e-06
14,1.1736416933953366e-06,2.288043300397896e-06,1.6260178721058e-08,4.119640177820141e-08,1.141771743102063e-06,1.2055116436886102e-06,2.2072983529126212e-06,2.368788247883171e-06,-1.1144016070025596e-06
15,1.1247843796742401e-06,2.159784557003512e-06,1.5431474716177914e-08,3.47871749631987e-08,1.0945386892305314e-06,1.1550300701179489e-06,2.0916016940756426e-06,2.2279674199313815e-06,-1.035000177329272e-06
16,1.0801554622054701e-06,2.0248751683900794e-06,1.4883080596244151e-08,3.1545985912885764e-08,1.0509846242368316e-06,1.1093263001741087e-06,1.9630450360008233e-06,2.0867053007793356e-06,-9.447197061846093e-07
17,1.031437565964111e-06,1.973796126874604e-06,1.4425002304686465e-08,3.1939245637545335e-08,1.0031645614469256e-06,1.0597105704812966e-06,1.911195205425015e-06,2.036397048324193e-06,-9.42358560910493e-07
18,9.931854480818069e-07,1.8954979900299638e-06,1.3984160742373261e-08,2.995297873139667e-08,9.657764930267553e-07,1.0205944031368584e-06,1.8367901517164263e-06,1.9542058283435013e-06,-9.023125419481569e-07
19,9.521580918894415e-07,1.8236793042421615e-06,1.2856004868685853e-08,3.061994516271564e-08,9.269603223468173e-07,9.773558614320658e-07,1.763664211723239e-06,1.8836943967610842e-06,-8.7152121235272e-07
20,9.025794275099258e-07,1.7070256880435186e-06,1.2661709270408007e-08,2.728306006667411e-08,8.777624773399261e-07,9.273963776799254e-07,1.6535508903128373e-06,1.7605004857741998e-06,-8.044462605335928e-07
21,8.608165258679027e-07,1.6093125209996237e-06,1.1858620002260928e-08,2.6328124833724153e-08,8.375736306634713e-07,8.840594210723341e-07,1.5577093963255244e-06,1.660915645673723e-06,-7.48495995131721e-07
22,8.57585493466176e-07,1.5657445496685178e-06,1.2183301651518121e-08,2.553753333209908e-08,8.337062222292004e-07,8.814647647031515e-07,1.5156909843376037e-06,1.615798114999432e-06,-7.081590562023419e-07
23,7.878927340230518e-07,1.4241547071674563e-06,1.0666968510733926e-08,2.2279091822793223e-08,7.669854757420133e-07,8.087999923040903e-07,1.3804876871947817e-06,1.467821727140131e-06,-6.362619731444045e-07
24,7.60777200699861e-07,1.3654460095517533e-06,1.0189765172404688e-08,2.2082928353422105e-08,7.408052609619479e-07,7.807491404377742e-07,1.322163469979046e-06,1.4087285491244606e-06,-6.046688088518922e-07
25,7.27477710892555e-07,1.3286816096071172e-06,9.533968266476679e-09,2.065465166471246e-08,7.087911330902607e-07,7.461642886948493e-07,1.2881984923442808e-06,1.3691647268699536e-06,-6.012038987145622e-07
26,6.942923423056153e-07,1.2201914758213834e-06,8.965340624064863e-09,1.8934365918182663e-08,6.767202746824482e-07,7.118644099287825e-07,1.1830801186217453e-06,1.2573028330210215e-06,-5.25899133515768e-07
