stage,true_regret_eto_mean,true_regret_ieo_mean,true_regret_eto_minus_ieo_mean,intercept_gap_mean,intercept_gap_ci_lower,intercept_gap_ci_upper,slope_gap_mean,slope_gap_ci_lower,slope_gap_ci_upper,intercept_angle_mean,intercept_angle_ci_lower,intercept_angle_ci_upper,slope_angle_mean,slope_angle_ci_lower,slope_angle_ci_upper
0,1.8997604768673e-06,3.84790826619459e-06,-1.94814778932729e-06,0.324295306004434,0.317277545108447,0.331535224998892,0.215028127170596,0.21095423788325,0.219120619695567,0.440090031277748,0.429259443722713,0.451010676531436,0.496209435482676,0.48881017073511,0.503447190763755
1,1.87475100904086e-06,3.739974725167e-06,-1.86522371612614e-06,0.31954380259695,0.313196012115612,0.326100190472414,0.214216976264192,0.210350591361838,0.21808695786878,0.4340313070206,0.423499901873199,0.444676389597606,0.498590637883402,0.491502626230453,0.505752633774017
2,1.79842129569085e-06,3.62015334059357e-06,-1.82173204490272e-06,0.312386275917754,0.306320794971935,0.318932795541547,0.208695627058517,0.205028347205505,0.212608833744797,0.434642280920096,0.423857802308763,0.445209854576208,0.486854798776459,0.479958268968983,0.49393614067209
3,1.74687222092047e-06,3.497301687569e-06,-1.75042946664852e-06,0.309003461505355,0.302309960654214,0.315436029651784,0.206744084376586,0.203001848588328,0.210571092846374,0.432279045808877,0.42177896097874,0.442451795299457,0.484985778850505,0.477944249015039,0.491873951126427
4,1.68312870880389e-06,3.3916603351741e-06,-1.70853162637021e-06,0.300786221097789,0.294530541375275,0.307383589112265,0.199877148868594,0.196246782076466,0.203639221833557,0.436751667585782,0.42637481652548,0.447107377359534,0.469185977889146,0.46231282038689,0.476171054761659
5,1.59804856920969e-06,3.14141389906845e-06,-1.54336532985875e-06,0.289956998124947,0.284199024961934,0.295974244141722,0.195314542541287,0.191884186463649,0.198872532879102,0.432394327122967,0.422344321144387,0.442493148126209,0.461745263537782,0.455033505962261,0.468493013796565
6,1.53968048942159e-06,3.11929327271932e-06,-1.57961278329773e-06,0.286820921992004,0.280767464874141,0.29319016876962,0.19105855230161,0.187665719122459,0.194700190007877,0.424339552123556,0.414664456501982,0.434123437135302,0.45480747742889,0.448087898415367,0.46177941450247
7,1.47792939578423e-06,2.98543691741546e-06,-1.50750752163123e-06,0.275988912873023,0.270135650794312,0.281844025605569,0.183122614107923,0.179873962503483,0.186447653917058,0.436101832069213,0.426341531582946,0.446213332521877,0.438105995281043,0.431641581706757,0.444760976224838
8,1.46169043338568e-06,2.903156598298e-06,-1.44146616491232e-06,0.267264971725478,0.261833785015156,0.272907665441171,0.177374090353138,0.174326542764586,0.180591920156356,0.428123747094786,0.418055400802509,0.438437047668483,0.42715572359307,0.421233257487321,0.433627612401463
9,1.37898411392535e-06,2.73056599937085e-06,-1.3515818854455e-06,0.258711561120127,0.253608803770212,0.264099323684513,0.171931113256395,0.169093377395406,0.175055859735842,0.425332703306791,0.415331794309202,0.434840189422399,0.416386433202671,0.41036655839553,0.422798525143076
10,1.36955151401415e-06,2.73147081063467e-06,-1.36191929662052e-06,0.25203593339045,0.246510118847806,0.257644771572846,0.165220389456305,0.162178822382746,0.168318789374405,0.433242748358588,0.423038906623688,0.443720403565762,0.400810252527658,0.394568423565853,0.407095202186587
11,1.31347704959287e-06,2.52682922042581e-06,-1.21335217083294e-06,0.23727012704367,0.232627944653928,0.242242726953637,0.157007877758717,0.154322680571988,0.159817210859498,0.429614231770068,0.419457385047639,0.43986083826386,0.385667103448184,0.37992157223272,0.391512565074497
12,1.26745540162475e-06,2.46833546451451e-06,-1.20088006288976e-06,0.22543445825935,0.220826092135115,0.22992941381152,0.14468298353846,0.142106232679853,0.147189243081574,0.43488628830044,0.424591960232527,0.445216084539405,0.360835827349324,0.355201135964624,0.3663059713871
13,1.23743971963288e-06,2.42154392574345e-06,-1.18410420611057e-06,0.215563462120485,0.211002421026132,0.220408737786129,0.136711374411256,0.134252363997261,0.139221246283278,0.432818057493682,0.422528316239351,0.443429756595401,0.340660557706208,0.335216474972067,0.34623626388378
14,1.17364169339534e-06,2.28804330039789e-06,-1.11440160700255e-06,0.2115116019474,0.207011016523843,0.216190774095098,0.135905426422236,0.133442976287592,0.138532953355874,0.428208948814599,0.418174694353798,0.438119498476738,0.338615469688889,0.333406069600677,0.344038504314728
15,1.12478437967424e-06,2.15978455700352e-06,-1.03500017732928e-06,0.207831476257379,0.203602140059095,0.212325330586308,0.134437569451817,0.132004389978727,0.13687527804504,0.437244338430865,0.426614424064805,0.448163834036207,0.335546244023093,0.330119323715979,0.340921829585774
16,1.08015546220547e-06,2.02487516839008e-06,-9.44719706184612e-07,0.205013848907143,0.200975019274866,0.20918194937523,0.135613950162032,0.133280323147016,0.138025317830679,0.433027286123139,0.422604019082718,0.443759742917482,0.337153520182049,0.332138591069364,0.342373297409743
17,1.03143756596411e-06,1.97379612687461e-06,-9.42358560910495e-07,0.202557639424363,0.19846137259056,0.206607359637468,0.134250419206733,0.131923358195105,0.136560121683553,0.424411061742446,0.415133516708594,0.434008408012971,0.335787279896359,0.330531120452694,0.3409293543442
18,9.93185448081808e-07,1.89549799002996e-06,-9.02312541948154e-07,0.201805915434132,0.197864186968626,0.206076606053648,0.134626234236202,0.132329640350174,0.137043657240342,0.438698611434766,0.428221734365922,0.44972997547341,0.336835993073039,0.331780611692945,0.342181066790104
19,9.5215809188944e-07,1.82367930424216e-06,-8.71521212352723e-07,0.199629748945441,0.195312400125583,0.203964754926078,0.134065500866199,0.131557301410977,0.136568145675038,0.429852310740136,0.420188507329164,0.44003347590897,0.335357195768646,0.32990227534799,0.340805406674124
20,9.02579427509926e-07,1.70702568804352e-06,-8.04446260533593e-07,0.192960786454009,0.188979924944667,0.19681993187664,0.131171828108206,0.128760264856408,0.133472663546172,0.442127050613398,0.432133084512295,0.453016967571147,0.329305243851078,0.323873444463811,0.334472136774468
21,8.60816525867903e-07,1.60931252099962e-06,-7.48495995131719e-07,0.188897015288343,0.18500397104002,0.192823297588296,0.13067862187321,0.128350895644147,0.132948174954958,0.431522645966069,0.421208503487015,0.441532508556115,0.327436397607269,0.322311134370294,0.332574149910781
22,8.57585493466177e-07,1.56574454966852e-06,-7.08159056202341e-07,0.185967556463658,0.182089220673007,0.189776129505444,0.12973164976928,0.127414175156324,0.132059221985739,0.424034494252832,0.414223573448518,0.433764046131542,0.325288631652743,0.320029682393329,0.330475223657653
23,7.87892734023051e-07,1.42415470716745e-06,-6.36261973144403e-07,0.178960050821562,0.175387545804179,0.182638850209095,0.126420497701047,0.124231485749477,0.128708641074118,0.433984210035778,0.424052031757554,0.444097455386732,0.31872190136638,0.313682433803247,0.323765980804655
24,7.60777200699859e-07,1.36544600955175e-06,-6.04668808851892e-07,0.17574727496524,0.172067942397776,0.179394107603584,0.12415377339709,0.121843303845773,0.126379732908672,0.433155439591085,0.423082148137375,0.443300028031053,0.312881980883068,0.307647117065208,0.317925925454532
25,7.27477710892556e-07,1.32868160960712e-06,-6.01203898714563e-07,0.177005008473475,0.173318899690098,0.180676883929198,0.126113330984549,0.12382422858626,0.128422508954116,0.430398893020191,0.420489448470323,0.440649315798781,0.317063704961442,0.311769270233129,0.322171936455674
26,6.94292342305613e-07,1.22019147582138e-06,-5.2589913351577e-07,0.167457027247752,0.164155366459836,0.170961148833065,0.122799792336472,0.120735674935731,0.124896002272921,0.434529921329134,0.424156302519402,0.44561793186891,0.310123937433026,0.305324365192932,0.314893352634474
27,6.92546278160491e-07,1.22386364261894e-06,-5.31317364458448e-07,0.167189629619123,0.1637794969027,0.170725836974188,0.122267075607826,0.120167874375901,0.124456755727804,0.426926176222099,0.416801960488099,0.437060555902778,0.309975250648991,0.305182884127399,0.315071013404721
28,6.54093373662523e-07,1.14139680068127e-06,-4.87303427018745e-07,0.163246748516239,0.159890099136179,0.166496084802621,0.120761516661713,0.118676221038013,0.122874267255568,0.441215638883302,0.430997094383422,0.451725557647875,0.306644916377212,0.301879976248694,0.311421324430486
29,6.22844716947616e-07,1.06227673117814e-06,-4.39432014230521e-07,0.160062007109986,0.156726147773754,0.163412127654636,0.120695378970985,0.118509533329105,0.122880862792217,0.430428847166979,0.419900234197615,0.440706258027305,0.306066187872004,0.300968435894799,0.311092477639928
30,5.86384405376984e-07,1.00283303909257e-06,-4.16448633715581e-07,0.154645182003586,0.15148371966117,0.157783665485941,0.117628293229146,0.115544506843877,0.119794636720996,0.432295817291636,0.421885203543604,0.442759440617828,0.298245203983887,0.293532913920441,0.303184333735796
31,5.73845454997574e-07,9.50796854459687e-07,-3.76951399462113e-07,0.15233232272094,0.149274975701815,0.155340426082462,0.116802873009297,0.114741603830175,0.118868790012541,0.437067638847293,0.427378669906146,0.446950096952828,0.296982983927402,0.292195393457074,0.301724774783178
32,5.57466749851639e-07,9.143877647184e-07,-3.56921014866762e-07,0.149385056176974,0.146412940150073,0.152352237975329,0.115924855849967,0.11391632227092,0.118022112442329,0.433348802823617,0.423210923833846,0.443773985937103,0.29503901343842,0.290309133144495,0.299987547213924
33,5.29272253895653e-07,8.6931043565521e-07,-3.40038181759557e-07,0.142272008906449,0.13945843924886,0.145087432972109,0.112395352409143,0.110331966564331,0.114446317792589,0.441703275459545,0.431067085819611,0.452260646368861,0.286627827990672,0.281869766094563,0.291444549355213
34,5.09240603034525e-07,8.32308917736378e-07,-3.23068314701854e-07,0.142550402129938,0.139711390673159,0.145481396810548,0.114300088056667,0.112242142861436,0.116396303925079,0.426527515671761,0.416580733769632,0.436586405270872,0.290522544142035,0.285754770363143,0.295294252266373
35,4.88526523604914e-07,7.58858246398662e-07,-2.70331722793748e-07,0.132652118177293,0.130091064544455,0.135287619313679,0.109304447490325,0.107382594161087,0.111230927032526,0.439407067138811,0.42925711790776,0.449715582961548,0.280039663489911,0.275490200767498,0.284733359763532
36,4.66603172486166e-07,7.17897883293643e-07,-2.51294710807476e-07,0.128530804365458,0.126056663342252,0.131118971118334,0.107596849438406,0.105641689745581,0.109566995093649,0.428021774185086,0.418079593493373,0.438343606976574,0.275512062621145,0.270941903258475,0.280140513976985
37,4.4897829592763e-07,6.90070465794444e-07,-2.41092169866813e-07,0.124225308961162,0.121752962582311,0.126695276913355,0.10534939999446,0.103434443097839,0.107194250518858,0.430324921840394,0.420132078647476,0.440710030399423,0.270289137695899,0.265788468776482,0.274825197202198
38,4.34624429638708e-07,6.50293699790432e-07,-2.15669270151724e-07,0.119518636746195,0.117148872070257,0.121817097480618,0.102326639076279,0.100523986941774,0.104194506982749,0.435296288290567,0.425033996630091,0.445522969361915,0.263398297406567,0.259034991274705,0.267939059623591
