stage,wealth_eto_mean,wealth_eto_ci_lower,wealth_eto_ci_upper,wealth_ieo_mean,wealth_ieo_ci_lower,wealth_ieo_ci_upper,wealth_eto_minus_ieo_mean,wealth_difference_ci_lower,wealth_difference_ci_upper
0,1,1,1,1,1,1,0,0,0
1,1.00028263175523,1.00027914677917,1.00028611673129,1.00029250671062,1.0002879639295,1.00029704949174,-9.87495538865973e-06,-1.19798714068148e-05,-7.77003937050463e-06
2,1.00056550938709,1.00056053184135,1.00057048693283,1.00058449885093,1.00057804217729,1.00059095552456,-1.89894638371257e-05,-2.19028877242391e-05,-1.60760399500122e-05
3,1.0008510633192,1.0008448883257,1.0008572383127,1.00087978478486,1.00087181513774,1.00088775443199,-2.8721465663701e-05,-3.23188102594485e-05,-2.51241210679536e-05
4,1.00113478502955,1.00112780385208,1.00114176620703,1.00117378754238,1.0011647106775,1.00118286440726,-3.90025128261089e-05,-4.31978288003981e-05,-3.48071968518197e-05
5,1.00141447698933,1.00140672045712,1.00142223352154,1.00146296599305,1.00145294233911,1.00147298964698,-4.84890037137539e-05,-5.31100716266016e-05,-4.38679358009061e-05
6,1.00169261546487,1.00168408434698,1.00170114658276,1.00175111155582,1.00174012762902,1.00176209548261,-5.84960909441035e-05,-6.35025009037749e-05,-5.34896809844321e-05
7,1.00197245405139,1.00196328354902,1.00198162455376,1.00204150007735,1.00202964219082,1.00205335796389,-6.90460259624801e-05,-7.44554528273435e-05,-6.36365990976167e-05
8,1.00225210296123,1.00224237601879,1.00226182990368,1.0023313048505,1.00231878354491,1.0023438261561,-7.92018892686845e-05,-8.49591302823045e-05,-7.34446482550646e-05
9,1.00252958554165,1.00251936275187,1.00253980833143,1.00261828315742,1.00260512367665,1.00263144263818,-8.86976157645528e-05,-9.46896861104532e-05,-8.27055454186524e-05
10,1.00280731726902,1.00279656214672,1.00281807239132,1.00290469313393,1.0028910024732,1.00291838379465,-9.73758649097465e-05,-0.000103559997577171,-9.11917322423219e-05
11,1.00308443791945,1.00307310577208,1.00309577006682,1.00319050588492,1.00317614097491,1.00320487079493,-0.000106067965465152,-0.000112508098777804,-9.9627832152499e-05
12,1.00335954978962,1.00334781238073,1.0033712871985,1.00347339223047,1.00345849071521,1.00348829374572,-0.000113842440849997,-0.000120525907289434,-0.000107158974410561
13,1.00363442220165,1.00362236992314,1.00364647448015,1.00375532979136,1.00373996723067,1.00377069235204,-0.000120907589707141,-0.000127822548046797,-0.000113992631367486
14,1.00391094999258,1.00389860911916,1.00392329086599,1.00403934451026,1.00402371658194,1.00405497243858,-0.000128394517684929,-0.000135462698059348,-0.000121326337310511
15,1.00418592519176,1.00417332709251,1.004198523291,1.00432278561027,1.0043068813002,1.00433868992034,-0.000136860418511013,-0.000144065247521445,-0.00012965558950058
16,1.0044596808169,1.00444659627161,1.00447276536218,1.00460320962098,1.0045867933403,1.00461962590166,-0.000143528804082065,-0.000150872449160422,-0.000136185159003708
17,1.00473086244264,1.004717555689,1.00474416919628,1.00488145712778,1.00486479397068,1.00489812028487,-0.000150594685138055,-0.000158059487611435,-0.000143129882664676
18,1.0050052756209,1.00499172725534,1.00501882398645,1.00516287138294,1.00514598312998,1.00517975963591,-0.000157595762047622,-0.000165168447584196,-0.000150023076511047
19,1.00527666376762,1.00526274557838,1.00529058195685,1.00544060959085,1.00542326504246,1.00545795413925,-0.000163945823235146,-0.000171678195383899,-0.000156213451086393
20,1.00554869186154,1.00553437866576,1.00556300505732,1.00571939117471,1.00570162123935,1.00573716111006,-0.000170699313167738,-0.000178588243444091,-0.000162810382891384
21,1.00581970133037,1.00580512593516,1.00583427672558,1.00599719663785,1.00597909896604,1.00601529430966,-0.000177495307483492,-0.000185519277867481,-0.000169471337099503
22,1.00608562075136,1.0060707690704,1.00610047243232,1.00626877524204,1.00625031692696,1.00628723355712,-0.000183154490680502,-0.000191285147253033,-0.000175023834107971
23,1.00635363298629,1.00633859612516,1.00636866984743,1.0065430054164,1.00652434269844,1.00656166813435,-0.000189372430105213,-0.000197571876341293,-0.000181172983869132
24,1.00662377465575,1.0066085057334,1.00663904357809,1.0068193961007,1.00680046770816,1.00683832449325,-0.000195621444956411,-0.000203899537350671,-0.000187343352562151
25,1.00689070420547,1.0068751763934,1.00690623201755,1.00709218469952,1.0070729843106,1.00711138508845,-0.000201480494050745,-0.000209840785854582,-0.000193120202246908
26,1.00715857779867,1.00714286977957,1.00717428581776,1.0073663344159,1.00734697912612,1.00738568970568,-0.000207756617233394,-0.00021620854940121,-0.000199304685065577
27,1.00742381816092,1.00740791953642,1.00743971678542,1.00763739426935,1.00761780308366,1.00765698545504,-0.000213576108425481,-0.000222116352259681,-0.000205035864591282
28,1.00768946431666,1.00767335760589,1.00770557102742,1.00790811199972,1.00788835219525,1.00792787180419,-0.000218647683064059,-0.000227227127897062,-0.000210068238231056
29,1.00795359141046,1.0079373039525,1.00796987886841,1.00817656932139,1.00815658877728,1.00819654986549,-0.000222977910926471,-0.000231645050760074,-0.000214310771092868
30,1.00821919783793,1.00820261658876,1.00823577908711,1.00844657214015,1.00842626619557,1.00846687808473,-0.000227374302218692,-0.000236125094702161,-0.000218623509735224
31,1.00848296447057,1.00846628222928,1.00849964671187,1.0087138952287,1.00869342904359,1.00873436141381,-0.000230930758126539,-0.000239771332936884,-0.000222090183316194
