stage_t,regret_pop_eto_mean,regret_pop_ieo_mean,regret_pop_eto_se,regret_pop_ieo_se,regret_pop_eto_minus_ieo,regret_pop_eto_median,regret_pop_ieo_median,regret_pop_eto_p95,regret_pop_ieo_p95,regret_pop_eto_p99,regret_pop_ieo_p99,max_regret_eto,max_regret_ieo,max_contribution_to_mean_eto,max_contribution_to_mean_ieo,delta_pop_mean,delta_pop_se,delta_pop_bootstrap_ci_low,delta_pop_bootstrap_ci_high,method_with_lower_mean_regret
0,2.03685372915737e-05,1.71480813065318e-05,2.32737662844068e-08,3.90795560838096e-07,3.2204559850418e-06,2.0175775798274e-05,1.21961439854856e-05,2.23332276136872e-05,4.68409270013022e-05,2.39127439857017e-05,8.84179886371216e-05,2.70986172507556e-05,0.00019250560585047,0.000665207738357484,0.00561303630445066,3.2204559850418e-06,3.92647464075986e-07,2.43998182429841e-06,3.99926926558311e-06,IEO
1,1.96180583948143e-05,1.54926318899147e-05,2.44447981342937e-08,3.29770830033653e-07,4.12542650489955e-06,1.9425679941089e-05,1.06410822833925e-05,2.14971228208249e-05,4.46714560433481e-05,2.35932035431775e-05,7.39216345485895e-05,2.97994172716898e-05,0.000150792589046444,0.00075948946302369,0.00486659045790038,4.12542650489955e-06,3.2945839214228e-07,3.4599526524476e-06,4.74067073680507e-06,IEO
2,1.88296278826465e-05,1.52115365076618e-05,2.15783738067004e-08,3.45569868625461e-07,3.61809137498477e-06,1.8656990340595e-05,1.0378268807059e-05,2.06342043320148e-05,4.25211207543208e-05,2.19847452979759e-05,7.50467961007177e-05,2.58409838121254e-05,0.000183261826327514,0.000686178823425941,0.00602377761888841,3.61809137498477e-06,3.45858507977635e-07,2.94409078665351e-06,4.29000342665239e-06,IEO
3,1.80969027030123e-05,1.45482441676199e-05,2.15146860092815e-08,3.23708507290042e-07,3.54865853539232e-06,1.79430416381303e-05,1.02567836558197e-05,1.97971564603295e-05,4.23241020591136e-05,2.11607050412002e-05,7.55923392482113e-05,2.64545371152533e-05,0.000153647031401428,0.000730913393009787,0.00528060395574748,3.54865853539232e-06,3.24215054441134e-07,2.89916637177858e-06,4.17340719061776e-06,IEO
4,1.72919771790762e-05,1.40714502561534e-05,1.87451156904274e-08,3.0225825678577e-07,3.22052692292272e-06,1.71538108114514e-05,9.76955606221507e-06,1.88722096369112e-05,4.11891376642493e-05,1.99130803911165e-05,6.55708557578664e-05,2.24639484747371e-05,0.000155678029918101,0.000649548291733787,0.00553169812223239,3.22052692292272e-06,3.03017635609122e-07,2.60714327532241e-06,3.81007371544297e-06,IEO
5,1.65826113919154e-05,1.37163818459525e-05,2.02890219407309e-08,3.1324285138337e-07,2.86622954596293e-06,1.63937305002947e-05,9.38819291703308e-06,1.82142785699469e-05,3.9831944651249e-05,1.95596977927049e-05,6.86781789957048e-05,3.01564543568355e-05,0.00013742706503703,0.000909279414566082,0.00500959606478083,2.86622954596293e-06,3.14351324224891e-07,2.24844590328305e-06,3.47942436142464e-06,IEO
6,1.58604101378848e-05,1.28766251275476e-05,1.91971623382984e-08,2.77678090793307e-07,2.98378501033723e-06,1.56942363808514e-05,9.12481951210991e-06,1.74273902611271e-05,3.76550790153987e-05,1.89312391995289e-05,6.19548349623806e-05,2.31209448682148e-05,0.000115128029394501,0.000728888618491245,0.00447042715983872,2.98378501033723e-06,2.78609499426096e-07,2.43561045943771e-06,3.5161456771564e-06,IEO
7,1.51694239957184e-05,1.29653194263873e-05,1.78622106810346e-08,3.01080303587346e-07,2.20410456933116e-06,1.50004162310471e-05,8.74347689247972e-06,1.67026295712515e-05,3.74752416027747e-05,1.78959190571319e-05,6.61690397364169e-05,1.94327954015491e-05,0.000191166035680972,0.000640525157943837,0.00737220693891686,2.20410456933116e-06,3.01396214339061e-07,1.59250404446052e-06,2.78299307010678e-06,IEO
8,1.44578101099772e-05,1.28027352913281e-05,1.68960682854017e-08,2.76707090232163e-07,1.65507481864917e-06,1.43285433139199e-05,8.84494450946191e-06,1.59382419211082e-05,3.84604924927264e-05,1.6877034167635e-05,6.3466396551062e-05,1.99270723349392e-05,9.33063213262488e-05,0.000689145596164237,0.00364399947366911,1.65507481864917e-06,2.77373943807652e-07,1.1181836568312e-06,2.20053154198212e-06,IEO
9,1.38097013128273e-05,1.18825410356441e-05,1.71247706116178e-08,2.58266106916172e-07,1.9271602771832e-06,1.3676794941408e-05,8.64410711514447e-06,1.51253050886323e-05,3.14053294819047e-05,1.62723895006857e-05,5.46215784079836e-05,2.14138130457718e-05,0.000139665394933668,0.000775317748034177,0.00587691616274303,1.9271602771832e-06,2.59115249561592e-07,1.40613847475452e-06,2.43685290051479e-06,IEO
