wealth_stage,wealth_eto_mean,wealth_ieo_mean,wealth_eto_median,wealth_ieo_median,wealth_eto_q025,wealth_eto_q975,wealth_ieo_q025,wealth_ieo_q975
0,1,1,1,1,1,1,1,1
1,1.00100114000986,1.01286450340481,1.00099750683338,1.01228161549161,1.00076684272198,1.00125586719169,1.0077343995,1.02117107059518
2,1.00196214907914,1.02520384193645,1.00195850892713,1.02459283614266,1.00162968007557,1.00232357983956,1.01774029720299,1.03568560825629
3,1.00290080902007,1.0373021018534,1.00289731230046,1.03675659480293,1.00249934196353,1.00330827962919,1.02824101778139,1.04931707448548
4,1.00381173609438,1.04901692258857,1.00380278253424,1.04856779883869,1.00335757631688,1.00430744103058,1.03856304012476,1.06268041098975
5,1.00469344000541,1.06050679503824,1.00469013699455,1.05986603384277,1.00420493998019,1.00521786273454,1.04892708897052,1.07502807927388
6,1.00554908243193,1.07167111310789,1.00553626969075,1.0711928804891,1.00500512799733,1.00611689099029,1.05925521333681,1.08721048994135
7,1.00637514334838,1.08247055821249,1.00635555385684,1.08201020901465,1.00579931785986,1.00698259457317,1.06923050173455,1.09826326119166
8,1.00717707013899,1.09308929412964,1.00716537725398,1.09263280337126,1.00656992912625,1.00783677051047,1.07893250925436,1.10992590293461
9,1.00795184059004,1.10340024845042,1.00794334385914,1.10302901276131,1.00729371368207,1.00859870042572,1.08867254686374,1.12141847321858
10,1.00869915125685,1.11334798251881,1.00868792664227,1.11292264849136,1.00805007973164,1.00937435564643,1.09775467096882,1.13208573470993
11,1.00941452677102,1.12286687852555,1.00940527192656,1.12244724792928,1.00873400711094,1.01013485423675,1.10662976967535,1.14133049809944
12,1.01010224108639,1.13222490005348,1.01009538502306,1.13200009605497,1.00938771147269,1.01085501996315,1.11508211694655,1.15135060475674
13,1.01076901576208,1.14124482513321,1.01076141488714,1.14105263114158,1.00999465202051,1.01154830606143,1.12369257880226,1.16094170453327
14,1.01140594472209,1.14997610092371,1.01139670168637,1.14979374089383,1.01063425695421,1.01220914899524,1.13208638486995,1.1697222719357
15,1.01201105889896,1.15837489263079,1.01199607459461,1.15816312218034,1.01121890996435,1.01281304369523,1.14009893448737,1.17826751824021
16,1.01259367024757,1.16654359477776,1.01257908142312,1.16622371320049,1.01178494248515,1.01341424202638,1.14809465571683,1.18672910960081
17,1.01314770628112,1.17434154084078,1.01313931718244,1.17402243307484,1.01231861837191,1.01397902854691,1.15535248921481,1.19488388306936
18,1.01367306279515,1.18185589825452,1.01366111755404,1.18165518860553,1.01283756672639,1.01453946520066,1.16273595585327,1.2025829778493
19,1.01417158717529,1.18904472892311,1.01416623286317,1.18870698071765,1.01332114736921,1.01506636741175,1.16989699216109,1.20958026552877
20,1.01464428141477,1.19597125866612,1.01463548093848,1.19570665752895,1.01375371325143,1.01554237809462,1.17706094168598,1.2162820540839
21,1.01508759542184,1.20243890098134,1.01507545893538,1.20209545974475,1.01419261660298,1.01599993581307,1.18327918426213,1.22326349663444
22,1.01550483692971,1.20881736337046,1.01550223112009,1.2086367364562,1.01459855864315,1.01641988980997,1.18946443950608,1.22943446577919
23,1.01589523030489,1.21483272949437,1.01589572172676,1.21480355832099,1.01497623478219,1.01680938153558,1.19546019091526,1.23576325191397
24,1.01625776426185,1.22049167427873,1.01625954600976,1.22038180428393,1.01536245302312,1.01718361638383,1.20127011975278,1.24129910677057
25,1.01659252062736,1.2259292239005,1.0166033163413,1.22585575989946,1.01566303991569,1.01751847753869,1.20678127000991,1.24663670122138
26,1.01690076636449,1.23113404675745,1.01691300805857,1.23114072756987,1.01594848280874,1.01785909401819,1.21169790464207,1.2519853292683
27,1.0171805811713,1.23596132027711,1.01718279166732,1.23585629867322,1.01623830351075,1.01816085396417,1.21670538029821,1.25644456859198
28,1.01743218046879,1.24045871705023,1.01744156474508,1.24052221866738,1.01646898415744,1.01839100088921,1.22137468579346,1.26114064354131
29,1.01765935189035,1.24469687712416,1.01765576993055,1.24468185324435,1.01670041634286,1.01867443869031,1.22552314449464,1.26503270679735
30,1.01785445407643,1.24859819120502,1.01784982269201,1.24861718800555,1.01688398750499,1.01885359459849,1.22969351102217,1.26941133604066
31,1.01802378195777,1.25224905966852,1.01801629074935,1.2521810851029,1.01705039076858,1.01904897478356,1.23300273969352,1.27288268918575
32,1.01816766334861,1.25554280327127,1.01816907555627,1.25529096453124,1.01720011200816,1.01917484478478,1.23639557209906,1.27620966385854
33,1.01828378787905,1.2586247995945,1.01828121222298,1.25835901719157,1.01729571148895,1.01929999073261,1.2401528994157,1.27913051701078
34,1.01837316574523,1.26141046734717,1.01836368183517,1.26123311967757,1.01739049383701,1.01941927295252,1.24278440058267,1.28199523561607
35,1.01843303006848,1.26389834797785,1.01842558241067,1.26364345626654,1.01743809774257,1.01946781661399,1.2454080371049,1.28431426769325
36,1.01846668294491,1.26611350465606,1.01845533573034,1.26577777920399,1.01745922761125,1.01951253681204,1.24754698038142,1.28650088545456
37,1.01847333523831,1.268074514207,1.01846230059582,1.26760253157789,1.01745421992592,1.0195146923075,1.24962645059186,1.28855462640608
38,1.0184552608419,1.26977126259106,1.01844408456153,1.26941133263897,1.01744440891569,1.01948862833465,1.25148702893872,1.29010432851508
39,1.0184069972265,1.27115983702364,1.01840132319101,1.27085871521827,1.01738861915281,1.01945334776819,1.25280795826709,1.29146745850765
40,1.01833290930689,1.27228777046934,1.01832896912634,1.2719312034607,1.01730251276547,1.01938029680728,1.2540702461154,1.29248250490003
41,1.01822891502441,1.27313666616438,1.01822102532569,1.27283127607116,1.01719021053145,1.01927250771723,1.25484566364278,1.29332832770827
42,1.0180973041184,1.2737208312141,1.01808613133202,1.27340271440426,1.01707290108429,1.01914021159468,1.25571249413416,1.29376427735729
43,1.01793965477325,1.27406473166259,1.01793419520847,1.27372379443304,1.0169063431023,1.01898243985037,1.25619560930783,1.29391121239148
44,1.01775396492183,1.27417212749084,1.0177524001768,1.27389827866876,1.01671892614702,1.01880179586262,1.25644991581199,1.29395479425291
45,1.01754060901164,1.27403263714956,1.01753773120863,1.27375661880457,1.0164948601663,1.01857401011268,1.25644828153605,1.29384066076286
46,1.01730045269655,1.27367981916235,1.01729788923421,1.27339639702174,1.01626316916774,1.01834876006129,1.25605313154176,1.29330797108522
47,1.01703247053173,1.27312729805439,1.01702904317788,1.27281940899208,1.01598661501682,1.01809517370397,1.25553677617183,1.29274995593997
48,1.01673672762657,1.27242884978804,1.01672971698575,1.27218403799616,1.01568580698805,1.01778726587814,1.25488841063209,1.29198359285516
49,1.01641373405975,1.27169947570032,1.01640939033394,1.27144277654823,1.01536020612189,1.01747660494167,1.25412998187198,1.29127903822787
50,1.01606351218,1.27124570643681,1.01605423705191,1.27099003264126,1.01501367189861,1.01712234145229,1.2536904754102,1.29081054760494
