stage_t,regret_pop_eto_mean,regret_pop_ieo_mean,regret_pop_eto_se,regret_pop_ieo_se,regret_pop_eto_ci_low,regret_pop_eto_ci_high,regret_pop_ieo_ci_low,regret_pop_ieo_ci_high,old_proxy_regret_eto_mean,old_proxy_regret_ieo_mean,difference_pop_eto_minus_ieo,difference_proxy_eto_minus_ieo
0,2.9824759276704196e-06,5.105071189274723e-06,2.093058269143794e-08,1.0459743703479195e-07,2.941451985595201e-06,3.0234998697456382e-06,4.900060212686531e-06,5.3100821658629154e-06,0.02778632964628867,0.01777259568520732,-2.1225952616043037e-06,0.01001373396108135
1,2.8989060794878626e-06,4.689827384732092e-06,2.2111381373986316e-08,9.009073381031176e-08,2.8555677719948494e-06,2.942244386980876e-06,4.513249546463881e-06,4.866405223000303e-06,0.026799571432582776,0.014657601228937004,-1.7909213052442294e-06,0.012141970203645772
2,2.7830416811178716e-06,4.499212905483899e-06,1.9655234091299353e-08,9.496697142720449e-08,2.7445174222989247e-06,2.8215659399368185e-06,4.313077641486578e-06,4.685348169481219e-06,0.025777653678803473,0.013868988622863352,-1.716171224366027e-06,0.011908665055940121
3,2.7088746292632525e-06,4.465493805843271e-06,1.994676510002631e-08,8.846869264016166e-08,2.669778969667201e-06,2.747970288859304e-06,4.2920951682685545e-06,4.638892443417988e-06,0.024684212457846598,0.014107039523176186,-1.7566191765800189e-06,0.010577172934670412
4,2.5456499562640246e-06,4.082639703989708e-06,1.713950124038246e-08,7.718933725605506e-08,2.512056533832875e-06,2.579243378695174e-06,3.93134860296784e-06,4.2339308050115765e-06,0.023618023784463472,0.013047347024790256,-1.5369897477256837e-06,0.010570676759673216
5,2.459659421542455e-06,4.0620452827057665e-06,1.8676529166064308e-08,8.465483244300088e-08,2.4230534243769692e-06,2.496265418707941e-06,3.896121811117485e-06,4.227968754294048e-06,0.022441814965203217,0.013044283929872216,-1.6023858611633113e-06,0.009397531035331001
6,2.345858676969588e-06,3.766576674918406e-06,1.7261121743453795e-08,7.199682753086864e-08,2.3120268783524186e-06,2.3796904755867572e-06,3.6254628929579035e-06,3.9076904568789085e-06,0.021660489103396876,0.011856417667643853,-1.4207179979488181e-06,0.009804071435753023
7,2.264798946745915e-06,3.7166861969534824e-06,1.646425408371306e-08,7.413954456032132e-08,2.2325290087418374e-06,2.297068884749993e-06,3.5713726896152527e-06,3.8619997042917125e-06,0.02057839227723963,0.011905102296262807,-1.4518872502075673e-06,0.008673289980976825
8,2.137310045438935e-06,3.544636537793774e-06,1.5238624211059174e-08,6.780250332439783e-08,2.107442341985259e-06,2.1671777488926113e-06,3.411743631277954e-06,3.6775294443095935e-06,0.019657884822802212,0.011362756337369054,-1.4073264923548386e-06,0.008295128485433158
9,2.0615985474616184e-06,3.398485948313787e-06,1.5184124332108465e-08,6.440645898790801e-08,2.0318376637706857e-06,2.091359431152551e-06,3.2722492886974874e-06,3.524722607930087e-06,0.018583560465970303,0.010606211827453832,-1.3368874008521688e-06,0.007977348638516471
10,1.965790039290416e-06,3.199978709662518e-06,1.4803519809814189e-08,6.554837645960594e-08,1.9367751404631803e-06,1.994804938117652e-06,3.0715038918016904e-06,3.3284535275233453e-06,0.01780526191362528,0.009677233694426262,-1.2341886703721017e-06,0.008128028219199017
11,1.8563059286876622e-06,3.0303288336353614e-06,1.3234299129257356e-08,6.107411650290074e-08,1.8303667023943178e-06,1.8822451549810067e-06,2.910623565289676e-06,3.150034101981047e-06,0.016847533027386192,0.009217868322899,-1.1740229049476992e-06,0.007629664704487192
12,1.7790539128197586e-06,2.8649026640525226e-06,1.2729923624899739e-08,5.9137446410275044e-08,1.7541032625149552e-06,1.804004563124562e-06,2.7489932690883835e-06,2.9808120590166617e-06,0.016018667669856827,0.008626327237565385,-1.085848751232764e-06,0.007392340432291441
13,1.7104083129010633e-06,2.791787484843134e-06,1.3149205454220399e-08,5.427722184787765e-08,1.6846358702107914e-06,1.7361807555913353e-06,2.685404130021294e-06,2.898170839664974e-06,0.015327311424996938,0.008343610000357602,-1.0813791719420708e-06,0.006983701424639336
14,1.6101234441519827e-06,2.5944520166695794e-06,1.173999253860732e-08,5.628960387700375e-08,1.5871130587763122e-06,1.6331338295276531e-06,2.4841243930706522e-06,2.7047796402685067e-06,0.014528974131669028,0.008007805069411114,-9.843285725175968e-07,0.006521169062257914
