stage,regret_eto_mean,regret_eto_ci_lower,regret_eto_ci_upper,regret_ieo_mean,regret_ieo_ci_lower,regret_ieo_ci_upper,regret_eto_minus_ieo_mean,regret_difference_ci_lower,regret_difference_ci_upper,true_regret_eto_mean,true_regret_ieo_mean,true_regret_eto_minus_ieo_mean,intercept_gap_mean,intercept_gap_ci_lower,intercept_gap_ci_upper,slope_gap_mean,slope_gap_ci_lower,slope_gap_ci_upper,intercept_angle_mean,intercept_angle_ci_lower,intercept_angle_ci_upper,slope_angle_mean,slope_angle_ci_lower,slope_angle_ci_upper
0,0.0277863296462887,0.0275750510949903,0.0279976081975871,0.0177725956852073,0.0163171460366541,0.0192280453337605,0.0100137339610814,0.00849072006336469,0.011536747858798,2.98247592767042e-06,5.10507118927473e-06,-2.1225952616043e-06,64.3313171444358,63.2276784844101,65.4349558044616,29.6889765478607,29.212530972146,30.1654221235753,0.125828552620364,0.122352851336213,0.129304253904514,1.28644156138917,1.28189493850779,1.29098818427054
1,0.0267995714325828,0.0265990827745826,0.0270000600905829,0.014657601228937,0.0135323075720855,0.0157828948857886,0.0121419702036458,0.0109505042369206,0.0133334361703709,2.89890607948786e-06,4.6898273847321e-06,-1.79092130524423e-06,60.770020320151,59.7460611504169,61.7939794898851,28.0204706520024,27.5768899423769,28.4640513616278,0.122913190015952,0.119453564529239,0.126372815502665,1.27416311725616,1.26955239809484,1.27877383641749
2,0.0257776536788034,0.0255824737776012,0.0259728335800057,0.0138689886228633,0.012798230189433,0.0149397470562937,0.0119086650559401,0.0107776671006814,0.0130396630111989,2.78304168111787e-06,4.4992129054839e-06,-1.71617122436602e-06,59.8305722281142,58.8482358243009,60.8129086319275,27.4866245950499,27.0611527000983,27.9120964900015,0.123418187739007,0.120048950266021,0.126787425211992,1.2699521620248,1.26524208027657,1.27466224377303
3,0.0246842124578466,0.0244945072569762,0.024873917658717,0.0141070395231762,0.0128639833407696,0.0153500957055827,0.0105771729346704,0.00927635283110841,0.0118779930382324,2.70887462926326e-06,4.46549380584328e-06,-1.75661917658002e-06,57.896126848721,56.8999434840888,58.8923102133531,26.3589421834987,25.9347188298851,26.7831655371122,0.125306593549374,0.12187979718799,0.128733389910758,1.25634180300591,1.2513331803248,1.26135042568701
4,0.0236180237844635,0.0234350737636935,0.0238009738052335,0.0130473470247903,0.0120548893506951,0.0140398046988854,0.0105706767596732,0.00951877871296185,0.0116225748063846,2.54564995626403e-06,4.08263970398971e-06,-1.53698974772568e-06,56.620665275393,55.6837075520203,57.5576229987657,25.5423610711385,25.1451412607904,25.9395808814866,0.121942322309448,0.11860058220602,0.125284062412877,1.25099814640133,1.24612647213633,1.25586982066634
5,0.0224418149652032,0.0222694487909609,0.0226141811394455,0.0130442839298722,0.0118180348303427,0.0142705330294017,0.00939753103533099,0.00812164218785278,0.0106734198828092,2.45965942154245e-06,4.06204528270577e-06,-1.60238586116331e-06,54.6727116412991,53.7298215412064,55.6156017413919,24.4307308507877,24.0360728101674,24.8253888914079,0.12310192025384,0.119639326187585,0.126564514320095,1.23717625884685,1.23216955370833,1.24218296398537
6,0.0216604891033969,0.0214932531648941,0.0218277250418997,0.0118564176676439,0.0108445309337355,0.0128683044015522,0.00980407143575306,0.00873878701248379,0.0108693558590223,2.34585867696958e-06,3.76657667491841e-06,-1.42071799794883e-06,52.2078503846589,51.3169898887714,53.0987108805463,22.9156187363252,22.550316526102,23.2809209465484,0.120066692444012,0.11669848840513,0.123434896482895,1.21872850731619,1.2134150815959,1.22404193303647
7,0.0205783922772396,0.020422991778136,0.0207337927763432,0.0119051022962628,0.0108968000104805,0.0129134045820451,0.00867328998097677,0.00761889568256745,0.00972768427938609,2.26479894674591e-06,3.71668619695349e-06,-1.45188725020758e-06,51.0823671801484,50.2250276569944,51.9397067033024,21.8638973004426,21.5199184758514,22.2078761250338,0.124398586305734,0.120940933952998,0.127856238658471,1.20460774664148,1.19909326973567,1.21012222354729
8,0.0196578848228022,0.0195101819329074,0.019805587712697,0.0113627563373691,0.0104063416679188,0.0123191710068193,0.00829512848543318,0.0072942296170962,0.00929602735377016,2.13731004543893e-06,3.54463653779378e-06,-1.40732649235485e-06,48.521954008299,47.6788220175904,49.3650859990076,20.317273253871,19.986888427359,20.647658080383,0.125276932014008,0.121841497719156,0.12871236630886,1.17984478710389,1.17409727042922,1.18559230377855
9,0.0185835604659703,0.018441868526773,0.0187252524051677,0.0106062118274538,0.009684793877613,0.0115276297772946,0.00797734863851649,0.00700878625771256,0.00894591101932043,2.06159854746162e-06,3.39848594831378e-06,-1.33688740085217e-06,47.5562479497645,46.7447318565657,48.3677640429632,20.1711695164403,19.8518332790613,20.4905057538193,0.126248197378602,0.122672942189036,0.129823452568167,1.17834020819296,1.17238796160222,1.18429245478371
