stage,wealth_eto_mean,wealth_eto_ci_lower,wealth_eto_ci_upper,wealth_ieo_mean,wealth_ieo_ci_lower,wealth_ieo_ci_upper,wealth_eto_minus_ieo_mean,wealth_difference_ci_lower,wealth_difference_ci_upper
0,1,1,1,1,1,1,0,0,0
1,1.00026179627665,1.00025954989337,1.00026404265992,1.00141278212477,1.0013903170069,1.00143524724264,-0.00115098584811893,-0.00117235877983902,-0.00112961291639885
2,1.00051712958445,1.00051399726847,1.00052026190042,1.00275395095875,1.0027230680787,1.00278483383881,-0.00223682137430841,-0.00226614247335174,-0.00220750027526507
3,1.00077131620384,1.00076751807787,1.00077511432982,1.00408069720235,1.00404439385816,1.00411700054654,-0.00330938099850515,-0.00334379972194668,-0.00327496227506362
4,1.00102356933741,1.00101922655147,1.00102791212335,1.00537920629181,1.00533753764738,1.00542087493625,-0.00435563695440206,-0.00439517821694868,-0.00431609569185544
5,1.0012716804697,1.00126681927236,1.00127654166703,1.00665279221625,1.0066071653084,1.00669841912411,-0.00538111174655804,-0.00542435271010326,-0.00533787078301282
6,1.00151840931464,1.00151309160089,1.0015237270284,1.00789623105067,1.00784679073244,1.0079456713689,-0.00637782173602842,-0.0064246246403944,-0.00633101883166244
7,1.00176249487476,1.00175680189729,1.00176818785222,1.00910519442279,1.00905230287641,1.00915808596918,-0.00734269954803493,-0.00739280159124618,-0.00729259750482369
8,1.00200386131659,1.00199783685833,1.00200988577486,1.01030823000992,1.01025242924677,1.01036403077307,-0.00830436869332291,-0.00835724139907197,-0.00825149598757384
9,1.00224456459644,1.00223827931672,1.00225084987616,1.01147809682062,1.01141887136204,1.01153732227919,-0.00923353222417678,-0.00928973539907357,-0.00917732904927999
10,1.00248081370976,1.00247429232195,1.00248733509756,1.01261507537837,1.01255359942262,1.01267655133412,-0.0101342616686158,-0.0101926564828468,-0.0100758668543848
11,1.00271398695647,1.00270722208979,1.00272075182314,1.01370671456308,1.01364313327063,1.01377029585553,-0.0109927276066166,-0.0110531388705092,-0.010932316342724
12,1.00294408338776,1.00293711480821,1.0029510519673,1.01477876777052,1.01471235383158,1.01484518170946,-0.0118346843827651,-0.0118977818082389,-0.0117715869572913
13,1.00317534137409,1.00316809579545,1.00318258695273,1.01583146387184,1.0157636365699,1.01589929117378,-0.0126561224977503,-0.0127205073469203,-0.0125917376485803
14,1.00340285516897,1.00339533212271,1.00341037821524,1.01685307044933,1.0167841704678,1.01692197043086,-0.0134502152803563,-0.0135156195802603,-0.0133848109804523
15,1.00362663171049,1.00361885176734,1.00363441165364,1.01783793707275,1.01776706603116,1.01790880811434,-0.0142113053622599,-0.014278556358804,-0.0141440543657158
16,1.00384866476171,1.00384072007586,1.00385660944756,1.01880905676625,1.01873666236517,1.01888145116733,-0.0149603920045387,-0.0150291225553287,-0.0148916614537488
17,1.00406799435463,1.00405985566582,1.00407613304343,1.01974763639579,1.01967344213214,1.01982183065944,-0.015679642041163,-0.0157500731182896,-0.0156092109640365
18,1.00428438229652,1.00427608103175,1.00429268356129,1.02065280782751,1.02057783263319,1.02072778302184,-0.016368425530993,-0.0164396224986437,-0.0162972285633424
19,1.00449875514232,1.00449034587991,1.00450716440472,1.02152449524867,1.02144834774359,1.02160064275374,-0.0170257401063506,-0.0170981354102597,-0.0169533448024415
20,1.00471111778512,1.00470255348677,1.00471968208348,1.02237708782505,1.02229987857421,1.02245429707589,-0.0176659700399271,-0.0177393568934991,-0.017592583186355
21,1.00492026264089,1.00491153331178,1.00492899197,1.02318012974458,1.02310192701403,1.02325833247513,-0.0182598671036887,-0.0183341788349887,-0.0181855553723887
22,1.00512750085039,1.0051186522712,1.00513634942958,1.02398304577614,1.02390396886986,1.02406212268243,-0.0188555449257555,-0.018930699022457,-0.018780390829054
23,1.00533288570205,1.00532390818666,1.00534186321743,1.0247532035278,1.02467331903799,1.0248330880176,-0.0194203178257487,-0.0194962005406793,-0.0193444351108181
24,1.0055357659928,1.00552669054065,1.00554484144494,1.02548640603529,1.02540606589545,1.02556674617513,-0.0199506400424882,-0.0200268929026055,-0.0198743871823708
25,1.00573559192502,1.00572646152274,1.00574472232729,1.02619283116645,1.02611199593609,1.02627366639682,-0.0204572392414366,-0.0205340089272098,-0.0203804695556633
26,1.00593302779031,1.00592380062355,1.00594225495707,1.02687980593226,1.02679793578299,1.02696167608152,-0.0209467781419476,-0.0210244815994538,-0.0208690746844415
27,1.0061275470138,1.00611822616662,1.00613686786098,1.02752786043554,1.02744548454172,1.02761023632937,-0.0214003134217438,-0.021478448817333,-0.0213221780261546
28,1.00631930001403,1.00630991603125,1.00632868399682,1.02814832004915,1.02806545697174,1.02823118312655,-0.0218290200351164,-0.0219075932286064,-0.0217504468416264
29,1.0065106337373,1.00650114852069,1.00652011895392,1.02874614809646,1.02866262559532,1.0288296705976,-0.0222355143591562,-0.0223146872855086,-0.0221563414328038
