stage_t,regret_pop_eto_mean,regret_pop_ieo_mean,regret_pop_eto_se,regret_pop_ieo_se,regret_pop_eto_minus_ieo,delta_paired_bootstrap_ci_low,delta_paired_bootstrap_ci_high,regret_pop_eto_median,regret_pop_ieo_median,regret_pop_eto_p90,regret_pop_ieo_p90,regret_pop_eto_p95,regret_pop_ieo_p95,regret_pop_eto_p99,regret_pop_ieo_p99,max_regret_eto,max_regret_ieo,max_contribution_to_mean_eto,max_contribution_to_mean_ieo
0,5.4111952714274e-05,0.000149596191022274,8.76293283006552e-07,4.15371446727566e-06,-9.54842383080001e-05,-0.000103390133750288,-8.84181463938948e-05,4.37410169487619e-05,9.18251098190167e-05,0.000100905705458416,0.000318984295377575,0.000130056823539602,0.000463959981068017,0.000200179116705829,0.000998611309253738,0.000324352408463407,0.00183268541657648,0.00299704956293185,0.00612544144357125
1,5.25675859039669e-05,0.000145446244902849,9.44324870710688e-07,4.56347234534388e-06,-9.28786589988823e-05,-0.000101179170435724,-8.55063201000389e-05,4.14288409541301e-05,8.52484689529146e-05,9.76439762387999e-05,0.000304657871243582,0.000127034167731081,0.00047413669766984,0.000207730579415926,0.00100078641287044,0.000566458549087917,0.00262562354582936,0.00538790719934098,0.00902609602462801
2,9.85507150719408e-05,0.000155136475587163,1.47204804412596e-05,6.63306466656729e-06,-5.65857605152219e-05,-7.87283720873613e-05,-3.04050692962551e-05,4.21924343932334e-05,8.31146799505597e-05,0.000108610116533658,0.000299928199582566,0.00016423017741603,0.000487556630856367,0.000687399555471278,0.00119297220368896,0.0218740221731866,0.00690527145054291,0.110978505621287,0.0222554735255128
3,0.000138278155636028,0.000179119559681695,2.07661790503245e-05,1.02892854625125e-05,-4.08414040456663e-05,-6.86688389111673e-05,-3.79763216784238e-06,4.25011921384212e-05,8.54936913719107e-05,0.000121568024119275,0.000344341317937631,0.000199237223871085,0.000539580699397944,0.00200933580213151,0.00182510105440711,0.0299902643136376,0.0122618590161977,0.108441800426443,0.0342281407959792
4,0.000188753394656224,0.000186652035337749,2.51950458342565e-05,1.01249321816075e-05,2.10135931847538e-06,-3.35106338970831e-05,4.768018411954e-05,4.03835676279733e-05,8.18726001547839e-05,0.000145405953773714,0.000342667677821616,0.000273192939365146,0.000596292848791276,0.00474250894230342,0.00202351409848726,0.0309719854810583,0.00832365862459053,0.0820435191045634,0.0222972618796489
5,0.000171660324891813,0.000189221085960337,2.80298429171943e-05,1.36352073881356e-05,-1.75607610685243e-05,-6.0001380471183e-05,3.87429755140658e-05,3.87041651540224e-05,7.62254552720255e-05,0.000142616359607637,0.000319727243322387,0.000312744928966709,0.000615252541397043,0.00250006015680009,0.00207135562340049,0.0396946656088293,0.0175286579776537,0.115619802169914,0.0463179298667799
6,0.000289073334475047,0.00021182960043992,5.24463432200114e-05,1.64862751174982e-05,7.72437340351274e-05,8.498426510094e-06,0.000161650568533425,3.91240959535764e-05,7.75994108591173e-05,0.000170051026322231,0.000402038835675212,0.000467808505457309,0.000763353494873864,0.00594600802974543,0.0024056433243876,0.0810460554606005,0.0257841494307189,0.140182517366707,0.0608605911949306
7,0.000208562831614997,0.000180395213462961,2.30980188510771e-05,9.66696979824667e-06,2.81676181520362e-05,-4.91481266033691e-06,6.64007136457529e-05,3.75918440132105e-05,7.34673077248024e-05,0.00017259410148069,0.000330067287094916,0.000552982371618852,0.000623767266930054,0.0038831400712067,0.00236141439153479,0.0174554677954387,0.00679488743618718,0.0418470243721594,0.0188333362780225
8,0.000263528553204461,0.000201791335709862,3.79372589241689e-05,1.42039140219891e-05,6.17372174945985e-05,6.12177200481462e-06,0.000127835084497483,3.57805320884548e-05,7.30442737567627e-05,0.000192535871251208,0.000353371379814987,0.000718898815438256,0.000691861910121027,0.00428250239459758,0.00247304274635377,0.0401161161688943,0.0156909926886461,0.0761134148104436,0.038879252752474
9,0.000227856371038069,0.000196421005036723,2.4439231875817e-05,1.26316014972373e-05,3.14353660013454e-05,-3.67228411789233e-06,7.09151989422889e-05,3.52667657529182e-05,6.89667142521474e-05,0.000169690910867648,0.000355037074000655,0.000683735888261346,0.000651588452194702,0.00547796280025181,0.00276386553745442,0.0173317668500367,0.0119676311247132,0.0380322190928359,0.0304642345213429
