stage_t,mean_slope_gap,mean_intercept_gap,mean_slope_angle_degrees,mean_intercept_angle_degrees,median_slope_gap,median_intercept_gap
0,6.31012646729818,24.2482486848442,9.59479086558638,7.69516366853936,5.0566242892519,17.9953317122188
1,5.28512829340833,19.4316967927156,6.4476919197988,7.32858146717077,4.26773392559899,13.9002330991432
2,8.66069872365983,44.9688721292459,7.42029176922245,8.51326127467195,4.09032999594745,13.7654498549815
3,11.7291214504106,69.889168149021,9.51857511549072,8.24725793770003,4.11868472815022,13.4290968361792
4,14.239926949463,90.0247504033876,10.2603790090768,8.21708700575808,3.97673684438024,13.8121961185179
5,14.3606597691771,91.8600997596639,9.70429082297661,7.77613762066007,3.89358497275804,13.5844542723012
6,17.9254258993349,124.707920237453,11.4648335991876,8.36227913931483,4.1688883870008,13.6496975938042
7,17.2577156784223,117.706831134312,11.0282146020535,8.69524545475913,3.98701254310822,13.8426113506756
8,18.6662960632006,129.431864832011,10.7788628239696,7.88148707215509,3.78416673196153,14.046880626034
9,18.3004833369261,129.450654717199,10.8469729419083,8.16576201049053,3.60892776173263,12.064903892056
10,16.5497880071198,115.432427587626,11.0487080333005,8.36371385856319,3.66631839434656,11.9489407092759
11,18.326564329561,128.928287952229,10.1953895520945,8.90100732558111,3.7489545648907,12.236299710813
12,19.5815031161571,131.895716802643,9.35831801400964,8.11567384099097,3.47705568590762,11.1862032259628
13,19.0039313206508,128.735593723425,11.2412466138619,8.5555597589909,3.58082840038913,11.7671677996962
14,19.3646232797907,125.406381438963,10.3854393806826,8.16880072023925,3.57302319649263,12.2087617540845
15,20.7816238437823,136.795877282339,11.3426583361476,7.86694805644357,3.42244462383278,11.7863160839743
16,20.4445896674227,133.842248730096,12.4741285598741,8.47434812788918,3.69473691140301,10.9318947635023
17,21.3097610863541,136.885936055452,10.6108399891685,8.83960707052963,3.44463226322594,10.4841283794685
18,20.6042583855415,125.667511752504,10.3218664502941,8.62720447455842,3.44944350299855,10.6331837872664
19,19.4212861882369,114.271584266871,9.78208199743599,8.36409720635027,3.39419202546743,10.1464666144664
20,21.7420128712273,131.385917353974,11.2025313909807,8.50500901986812,3.3853763740537,10.0780112376782
21,21.0765282466249,128.015102282815,12.7214854735256,8.12389642495545,3.51174279528942,9.81831228479463
22,19.1412037088181,107.726814574176,10.1398539065257,8.90193383006887,3.52296091384644,9.94247999463763
23,19.1192154383771,106.504416459516,10.1189021799336,8.05095645951275,3.21349713513337,9.40208257715282
24,20.893026809765,114.693681664649,10.5397129226463,8.03033795533503,3.36158581529821,9.87549119258967
25,21.7824879209071,117.238899184774,11.2841162161877,8.28227535912125,3.36926768993314,9.17244237269482
26,20.1594159697658,105.291102260015,11.7087310898238,8.16980934280762,3.742747607744,9.67458072893254
27,19.4505592748541,96.8523709676094,10.3477344784553,8.78722654641528,3.33104940031059,8.03420737364986
28,19.5423930239448,96.7722326944882,10.8596668365063,8.32391468560497,3.4625765924503,7.87831576629365
29,19.5322730254428,91.3099895593832,9.39333558851811,8.4248988323065,3.04371706361569,7.58276675396899
30,19.7255172917848,89.1150775856151,9.54782802826832,8.67279474941637,3.16279865506409,7.47366393601332
31,19.095576077508,86.1845995926054,9.64966229853069,8.12634219493507,3.32618083616833,8.16070679892475
32,19.4357028688337,84.7993808639235,9.91311150341959,8.30492303016355,3.3337628711859,6.85448153727112
33,21.8065703037487,95.4269775858957,10.5262892990376,8.16248715363919,3.31003532665547,6.80622052748833
34,19.535389287745,82.6310408536218,10.6731108919857,8.15830847575758,3.37640851743065,6.76818607611441
35,17.2491507119076,65.0995717640815,9.20978749337072,8.55830722729694,3.36085476139707,6.57144806241726
36,19.541497751718,73.7795567102003,10.1712466640437,9.32832248108558,3.09747102992176,5.57045354954535
37,20.080424624901,73.72419018934,9.21377366395676,8.7974999532511,2.94554378749324,5.29240327285441
38,18.5205932927703,64.7232742392575,9.39245174275599,8.06173772865012,2.8881049821996,5.61626074883831
39,17.0692609738752,55.6082467474151,8.56403913858548,8.09531655269544,2.98825317345229,5.39169487642606
40,19.233004226883,61.7431721542219,8.7142969030021,8.01634302954562,3.14644454375988,4.84687463923257
41,17.8184528017384,53.1035807960371,7.64632356494487,8.81189004623921,3.14880145161815,4.20894975806239
42,16.8583679767902,46.7958002780896,7.64561078152027,8.80499232428788,2.82496606484351,3.77074827185995
43,15.3212732197809,39.4532769767121,7.50269546708188,8.49077980927806,2.88806845665555,3.52297558227057
44,13.5355587463082,30.518829448931,5.80433577935979,8.34712289426441,2.73352636167999,3.11793778162737
45,13.3151148524525,29.2993363301001,6.36742983650639,7.9212651677002,2.90612541961982,2.69379621205541
46,13.4003237927379,24.9320389579919,5.06374396277791,8.56606484525925,2.89244407057248,2.20879634910345
47,13.1936561164682,21.3676577927839,5.21265164263991,7.71541115669805,3.02365860291237,1.72063560864652
48,11.7583926100645,13.8658825127154,3.93951537428521,8.36875800670327,3.27819047148638,1.04864336781558
49,10.2198700784439,3.78586381336423,2.24305916557613,8.10452777450289,3.35388001562385,0.164755343901606
