replication,seed,stage_t,Regret_ETO_pop,Regret_IEO_pop,Delta_ETO_minus_IEO,contribution_to_stage_mean_ETO,contribution_to_stage_mean_IEO,min_eig_Sigma,cond_Sigma,min_eig_Sigma1,cond_Sigma1,kappa1_next,kappa2_next,lambda1,norm_u_star,norm_u_ETO,norm_u_IEO,budget_residual_star,budget_residual_ETO,budget_residual_IEO,KKT_residual_star,solve_residual_1,solve_residual_mu,near_spd_flag,high_residual_flag,max_sigma,min_sigma,mean_sigma
763,20805,6,0.0810460554606005,0.0257841494307189,0.0552619060298816,0.140182517366707,0.0608605911949306,7.9834056742996e-10,187273.61203727,8.06101408191639e-10,338213.209364741,-0.0223390706219803,1.2336419860498e-05,0.0228390706219803,10147.5159013188,401.960642912857,5074.16995288096,1.81898940354586e-12,9.9475983006414e-14,2.27373675443232e-13,9.07129779008497e-13,4.12788027355129e-15,2.47138949503745e-15,0,0,0.0057085871084512,0.005,0.0052123079614312
1916,21958,11,0.0453001528884411,0.00336587468982392,0.0419342781986172,0.107596521227345,0.0093780230163152,7.799654593611e-10,188955.445748618,1.01151606818374e-09,548419.495495169,-0.0197904376064958,4.07704461235887e-05,0.0202904376064958,6978.64073292167,333.978250941035,5630.75701155551,9.09494701772928e-13,4.2632564145606e-14,4.54747350886464e-13,1.35214251390017e-15,2.34989921838088e-15,1.25352465180042e-14,0,0,0.00596742876695525,0.005,0.00517887747222078
1727,21769,8,0.0401161161688943,0.00549300205470461,0.0346231141141897,0.0761134148104436,0.0136105993733113,7.81908242680553e-10,186279.017144197,7.8199933634358e-10,1150987.8420798,-0.0199645260390012,7.54541767432812e-05,0.0204645260390012,7317.58758410065,297.474467632822,6255.85458686391,1.36424205265939e-12,0,9.09494701772928e-13,6.80696729881975e-13,7.01604735487091e-15,1.10993144211466e-16,0,0,0.00554029552964321,0.005,0.00514763012032539
1124,21166,5,0.0396946656088293,0.00385283496130175,0.0358418306475275,0.115619802169914,0.0101807759472148,7.81712793259273e-10,191229.012967141,8.56574936768902e-10,1704638.92776216,-0.0214825641871494,0.000130995596138969,0.0219825641871494,6748.11682425152,314.175611057795,5529.12752495127,1.81898940354586e-12,9.9475983006414e-14,9.09494701772928e-13,2.49508586649608e-12,1.77280056588453e-14,5.67692968899713e-15,0,0,0.00563388651776799,0.005,0.00522824353637638
1063,21105,8,0.0379976807923045,0.00356580425013128,0.0344318765421732,0.072094048880585,0.00883537501148769,7.89175374246507e-10,184964.924904174,1.24005116847708e-09,318076.517635618,-0.0214091720601961,2.4882307019651e-05,0.0219091720601961,5608.32955581983,344.476092801644,4636.33948432044,4.54747350886464e-13,7.105427357601e-14,6.82121026329696e-13,6.80488164225645e-13,6.92551391865163e-15,5.57976388446716e-15,0,0,0.00582981827196772,0.005,0.00514591143809084
670,20712,4,0.0309719854810583,0.00373290646823499,0.0272390790128233,0.0820435191045634,0.00999964040434987,7.85414182474956e-10,184409.829533958,9.51216794992559e-10,469898.282130254,-0.0223417755175976,3.0241161264854e-05,0.0228417755175976,5594.84996591605,300.734157663195,6083.90018544211,0,4.2632564145606e-14,4.54747350886464e-13,7.91053647577042e-16,1.04789998571793e-14,3.6413596887494e-15,0,0,0.00569633782511689,0.005,0.00513274539534384
1861,21903,3,0.0299902643136376,0.00179107581840674,0.0281991884952308,0.108441800426443,0.00499966564676012,7.80277776633834e-10,185444.659343932,8.1738845227547e-10,1127479.24986763,-0.023690217729715,7.76615693521863e-05,0.024190217729715,6288.09753576437,242.249846164242,6409.33292365134,9.09494701772928e-13,2.8421709430404e-14,0,2.18239649812195e-16,1.85775845048325e-15,6.07450024025592e-15,0,0,0.0056040229277272,0.005,0.00513411549315495
963,21005,6,0.0277727350460754,0.00669582160629381,0.0210769134397816,0.0480375249701088,0.0158047354864197,7.67627295165443e-10,197407.104950948,7.77090566152783e-10,426699.219626804,-0.021861602018566,1.80542149937518e-05,0.022361602018566,6201.2353578437,232.698128639502,5532.40339055573,4.54747350886464e-13,0,0,4.53613892764392e-13,3.64856516669287e-16,2.66757077691829e-15,0,0,0.0059570789847325,0.005,0.00524242244304406
1493,21535,21,0.0276348077348824,0.00754668521685949,0.0200881225180229,0.092726216108817,0.0319774576699349,7.69128495323572e-10,195340.360506447,7.74403300697167e-10,409452.990312861,-0.0141170983331889,1.67167384702875e-05,0.0146170983331889,6073.99526470233,234.215017409002,5124.80840492757,4.54747350886464e-13,1.4210854715202e-14,4.54747350886464e-13,6.81393669930338e-13,2.98565373561594e-15,1.50704406507075e-15,0,0,0.00594220573985472,0.005,0.00522822815956197
1208,21250,6,0.0275306475051478,0.00437605259562682,0.023154594909521,0.0476187946479792,0.0103291810647303,7.87439882817245e-10,183072.853415791,8.37602974731127e-10,1367567.18685874,-0.022067179107238,0.000100140983191934,0.022567179107238,5777.68044160005,234.806926203603,3883.28430489331,1.36424205265939e-12,4.2632564145606e-14,2.27373675443232e-13,6.8038979174391e-13,1.14019418162181e-14,8.58999613291379e-15,0,0,0.00590618450043123,0.005,0.00511754314477273
