wealth_stage,wealth_eto_mean,wealth_ieo_mean,wealth_eto_se,wealth_ieo_se,wealth_eto_p2_5,wealth_eto_p97_5,wealth_ieo_p2_5,wealth_ieo_p97_5
0,1,1,0,0,1,1,1,1
1,1.00743882190588,1.01189250262604,0.000203039708423149,0.000349883945174505,1.00021020912004,1.03289303260805,1.00008358786793,1.05648157891058
2,1.01450978152166,1.02272506244745,0.000299867316603812,0.00050377578287587,1.00145227222707,1.04820322149039,1.00164139193276,1.07962871792252
3,1.02171416997476,1.0385543574364,0.000375274819925447,0.00135179832336918,1.00335458767829,1.06368879853291,1.00409843920156,1.12337318785237
4,1.02901381937508,1.06018756989499,0.000465077157246858,0.00275630112725479,1.00549016611241,1.08222541860695,1.00735103291593,1.20918420601481
5,1.03693033374707,1.0875712581395,0.00058711901525566,0.00406903883718081,1.00803511701914,1.1030978891278,1.01048907475884,1.48447574254114
6,1.04424496727883,1.11316822179746,0.000674756072359312,0.00500252044977994,1.01046246463445,1.11364001022474,1.01468357884278,1.67589532903118
7,1.05210137460717,1.14796521643353,0.000759071715291243,0.0063908620371587,1.01333781156023,1.1360356273847,1.01937118598792,1.98492191840893
8,1.05961813306839,1.17819911601992,0.000824354126608497,0.00713800154210693,1.01615453509291,1.15306685313793,1.02275665833744,2.11054740946484
9,1.06762662746347,1.21494177950615,0.0009195614837655,0.00830435346350154,1.01953263385212,1.17223272740852,1.02770892329961,2.28417465479129
10,1.07512411155733,1.24839676428203,0.000998798226039216,0.00908939241118173,1.02191083721253,1.18786232275169,1.03139600917233,2.5525451563328
11,1.08210162697816,1.27776229019012,0.00105960613344797,0.0096899959715071,1.02429721932515,1.2038022410684,1.03577154924772,2.61261972313668
12,1.08898494777548,1.30966863143737,0.00112040719204605,0.0103917989077639,1.02720137714401,1.21491351623928,1.04058281935042,2.81651409023326
13,1.09548950481244,1.34254896184676,0.00116287081981217,0.0110252770510475,1.03007069708449,1.22836558171929,1.04420623800208,2.92795328485839
14,1.10237941152826,1.37311349985821,0.001229540469585,0.0115438139401946,1.03230764026997,1.23971933820667,1.04724792215144,2.95219535468695
15,1.10891729072478,1.40175921617484,0.00127563911241502,0.0119852540070208,1.03533699266981,1.25639656434308,1.05019248582768,3.04545031762209
16,1.11569577312805,1.4341242517874,0.00132442186561824,0.0125398556269678,1.03794096481283,1.26826484213664,1.05479343338005,3.10487223977554
17,1.12219897762133,1.4648407756602,0.00138522265017386,0.0129799876722483,1.0411432589837,1.28357095651624,1.05955698115135,3.15649941842254
18,1.12820394435131,1.49551908745739,0.00143533129387902,0.0135416647681155,1.04364330053753,1.29689224908632,1.06478162242334,3.26742703524378
19,1.13379859850337,1.52217510422968,0.00146401464494219,0.0138677554257981,1.04676794060366,1.30127410483002,1.06904640976094,3.2897271292982
20,1.1394187788637,1.54760118048581,0.00149844212360857,0.0142215073076978,1.04918727776814,1.31247794677927,1.07322812903747,3.42097645899881
21,1.14522389904765,1.57784499251411,0.00154710895538804,0.0146277433594806,1.0507849554354,1.32289643371067,1.07798668147472,3.50287331999916
22,1.15078846099814,1.60523714794265,0.00158776677340208,0.0150254497483172,1.05501395490759,1.33209867587287,1.08133241162743,3.57909445571955
23,1.15637560909373,1.63095081136433,0.0016221793340985,0.015355479572653,1.05759213596246,1.34028912886129,1.08715024695857,3.62355993498011
24,1.16155833156196,1.6542939872847,0.00165430828437558,0.0156072445019933,1.06110279321241,1.34834068045085,1.0907037225368,3.6209413890506
25,1.16651578638132,1.67803496393065,0.00168212954615117,0.0158109187197028,1.06299963164928,1.35545131812416,1.09505989900634,3.64395093749022
