n,R0_ETO_star,R0_IEO_star,Delta_R,CI_low,CI_high
5,1.74414867667713,1.08725639380218,0.6568922828749449,0.6134108097465361,0.7014990246316
10,1.6547037266240199,1.06188645479218,0.5928172718318431,0.576457492602866,0.609508144130005
15,1.7772200655235,1.18176795534158,0.595452110181927,0.5813074090703989,0.610122736003154
20,1.87765391688381,1.28198126053342,0.595672656350392,0.582658235387063,0.608824941724304
25,1.9986717286345097,1.389144296241,0.6095274323935119,0.597096392451719,0.621552025809202
30,2.14356454475626,1.51993259133998,0.623631953416278,0.611104022933078,0.635944806448337
35,2.2822738914016103,1.64679314591764,0.635480745483967,0.622767404764347,0.6484585021538669
40,2.45143437000465,1.7948363009966302,0.656598069008017,0.6431100858024009,0.669757192530592
45,2.62140578632186,1.94859768995604,0.6728080963658181,0.658998285984722,0.687217527507277
50,2.80166387123118,2.1105510651462,0.691112806084976,0.6761878333385151,0.705697237363885
