n,J,K,attempted_replications,valid_replications,eto_mean,ieo_mean,eto_minus_ieo_mean,ci_lower,ci_upper,eto_win_rate,eto_q95,ieo_q95,eto_l1_median,ieo_l1_median,population_condition_number,oracle_l1
5,300,1,2000,2000,1.74414867667713e-06,1.08725639380218e-06,6.56892282874945e-07,6.13410809746536e-07,7.014990246316e-07,0.269,3.96145517862257e-06,2.59257874561364e-06,1.39199953923786,1.10084307467302,20,1.15000000000001
10,300,2,2000,2000,1.65470372662402e-06,1.06188645479218e-06,5.92817271831843e-07,5.76457492602866e-07,6.09508144130005e-07,0.016,3.04826332707327e-06,2.0716635788843e-06,1.39693727603911,1.25607574660765,20,1.15
15,300,3,2000,2000,1.7772200655235e-06,1.18176795534158e-06,5.95452110181927e-07,5.81307409070399e-07,6.10122736003154e-07,0.013,2.9206284505933e-06,2.06454516471545e-06,1.49807051330023,1.32538324260608,20,1.15000000000001
20,300,4,2000,2000,1.87765391688381e-06,1.28198126053342e-06,5.95672656350392e-07,5.82658235387063e-07,6.08824941724304e-07,0.013,2.90919909885457e-06,2.06944700111917e-06,1.58830276487631,1.38525389415954,20,1.15000000000001
25,300,5,2000,2000,1.99867172863451e-06,1.389144296241e-06,6.09527432393512e-07,5.97096392451719e-07,6.21552025809202e-07,0.0085,2.93983661113971e-06,2.16339760678937e-06,1.69950352331591,1.47359576561229,20,1.15000000000003
30,300,6,2000,2000,2.14356454475626e-06,1.51993259133998e-06,6.23631953416278e-07,6.11104022933078e-07,6.35944806448337e-07,0.007,3.06387678986451e-06,2.29142275801653e-06,1.82376709689221,1.57132498744322,20,1.15000000000003
35,300,7,2000,2000,2.28227389140161e-06,1.64679314591764e-06,6.35480745483967e-07,6.22767404764347e-07,6.48458502153867e-07,0.0125,3.19782950636776e-06,2.50282802149421e-06,1.95429612118453,1.66666519731955,20,1.15000000000002
40,300,8,2000,2000,2.45143437000465e-06,1.79483630099663e-06,6.56598069008017e-07,6.43110085802401e-07,6.69757192530592e-07,0.016,3.37844216365273e-06,2.72560901572206e-06,2.09441919447549,1.78202293607512,20,1.15000000000003
45,300,9,2000,2000,2.62140578632186e-06,1.94859768995604e-06,6.72808096365818e-07,6.58998285984722e-07,6.87217527507277e-07,0.021,3.57294469827657e-06,2.88088250918989e-06,2.22775462897892,1.89595864166754,20,1.15
50,300,10,2000,2000,2.80166387123118e-06,2.1105510651462e-06,6.91112806084976e-07,6.76187833338515e-07,7.05697237363885e-07,0.023,3.76621642108376e-06,3.04463859640557e-06,2.3759117428675,2.02381335655354,20,1.14999999999998
