T,environment,R0_ETO_pop_mean,R0_IEO_pop_mean,Delta_R,CI_low,CI_high,cond_Sigma,lambda,Ntr,Nev,S
10,Regular stationary Gaussian,4.04765770563665e-07,5.85376545293638e-07,-1.81E-07,-1.91E-07,-1.70E-07,20,0.0001,60,1000,2000
15,Regular stationary Gaussian,4.81605325156032e-07,7.59542992704948e-07,-2.78E-07,-2.94E-07,-2.62E-07,20,0.0001,60,1000,2000
20,Regular stationary Gaussian,5.89999510276953e-07,1.00370650410234e-06,-4.14E-07,-4.36E-07,-3.93E-07,20,0.0001,60,1000,2000
25,Regular stationary Gaussian,7.30041998215123e-07,1.31726969595541e-06,-5.87E-07,-6.17E-07,-5.58E-07,20,0.0001,60,1000,2000
30,Regular stationary Gaussian,9.01883612563547e-07,1.69984493077197e-06,-7.98E-07,-8.39E-07,-7.59E-07,20,0.0001,60,1000,2000
35,Regular stationary Gaussian,1.10561326440823e-06,2.15074773286136e-06,-1.05E-06,-1.10E-06,-9.94E-07,20,0.0001,60,1000,2000
40,Regular stationary Gaussian,1.34127179900367e-06,2.6668091894794e-06,-1.33E-06,-1.39E-06,-1.26E-06,20,0.0001,60,1000,2000
45,Regular stationary Gaussian,1.60901281272171e-06,3.24404028205566e-06,-1.64E-06,-1.72E-06,-1.56E-06,20,0.0001,60,1000,2000
50,Regular stationary Gaussian,1.9089728440619e-06,3.88206732803149e-06,-1.97E-06,-2.07E-06,-1.88E-06,20,0.0001,60,1000,2000
55,Regular stationary Gaussian,2.2411910928843e-06,4.57963600496353e-06,-2.34E-06,-2.46E-06,-2.22E-06,20,0.0001,60,1000,2000
60,Regular stationary Gaussian,2.60576428171847e-06,5.33544587482967e-06,-2.73E-06,-2.87E-06,-2.59E-06,20,0.0001,60,1000,2000
65,Regular stationary Gaussian,3.00275281901835e-06,6.14812757310063e-06,-3.15E-06,-3.31E-06,-2.99E-06,20,0.0001,60,1000,2000
70,Regular stationary Gaussian,3.43228704657234e-06,7.01652869543765e-06,-3.58E-06,-3.76E-06,-3.41E-06,20,0.0001,60,1000,2000
75,Regular stationary Gaussian,3.89451103826783e-06,7.93930409224636e-06,-4.04E-06,-4.25E-06,-3.84E-06,20,0.0001,60,1000,2000
80,Regular stationary Gaussian,4.38939703405102e-06,8.91497535174744e-06,-4.53E-06,-4.76E-06,-4.29E-06,20,0.0001,60,1000,2000
85,Regular stationary Gaussian,4.91707966961171e-06,9.94246717814761e-06,-5.03E-06,-5.29E-06,-4.77E-06,20,0.0001,60,1000,2000
90,Regular stationary Gaussian,5.47767930379736e-06,1.10203215011802e-05,-5.54E-06,-5.82E-06,-5.25E-06,20,0.0001,60,1000,2000
95,Regular stationary Gaussian,6.07122169650971e-06,1.21475177692384e-05,-6.08E-06,-6.39E-06,-5.77E-06,20,0.0001,60,1000,2000
100,Regular stationary Gaussian,6.6978539637269e-06,1.33227435154453e-05,-6.62E-06,-6.98E-06,-6.29E-06,20,0.0001,60,1000,2000
105,Regular stationary Gaussian,7.3575612344675e-06,1.45447364783109e-05,-7.19E-06,-7.58E-06,-6.82E-06,20,0.0001,60,1000,2000
110,Regular stationary Gaussian,8.05042301097515e-06,1.58123327786537e-05,-7.76E-06,-8.16E-06,-7.37E-06,20,0.0001,60,1000,2000
115,Regular stationary Gaussian,8.7765383538551e-06,1.71244193549171e-05,-8.35E-06,-8.79E-06,-7.91E-06,20,0.0001,60,1000,2000
120,Regular stationary Gaussian,9.53596600271859e-06,1.84796287012483e-05,-8.94E-06,-9.43E-06,-8.48E-06,20,0.0001,60,1000,2000
125,Regular stationary Gaussian,1.03287864665361e-05,1.98771760944802e-05,-9.55E-06,-1.01E-05,-9.04E-06,20,0.0001,60,1000,2000
130,Regular stationary Gaussian,1.11551092227804e-05,2.13156048835507e-05,-1.02E-05,-1.07E-05,-9.62E-06,20,0.0001,60,1000,2000
135,Regular stationary Gaussian,1.20150226601329e-05,2.27940857558703e-05,-1.08E-05,-1.14E-05,-1.02E-05,20,0.0001,60,1000,2000
140,Regular stationary Gaussian,1.2908426590551e-05,2.43112341704572e-05,-1.14E-05,-1.20E-05,-1.08E-05,20,0.0001,60,1000,2000
145,Regular stationary Gaussian,1.38357025742975e-05,2.58665154849911e-05,-1.20E-05,-1.27E-05,-1.14E-05,20,0.0001,60,1000,2000
150,Regular stationary Gaussian,1.47964520946095e-05,2.74581738112082e-05,-1.27E-05,-1.34E-05,-1.20E-05,20,0.0001,60,1000,2000
155,Regular stationary Gaussian,1.57910262639925e-05,2.90856003220291e-05,-1.33E-05,-1.40E-05,-1.26E-05,20,0.0001,60,1000,2000
160,Regular stationary Gaussian,1.68192455649318e-05,3.0747996529296e-05,-1.39E-05,-1.48E-05,-1.32E-05,20,0.0001,60,1000,2000
165,Regular stationary Gaussian,1.78814719054592e-05,3.24440551597093e-05,-1.46E-05,-1.54E-05,-1.37E-05,20,0.0001,60,1000,2000
170,Regular stationary Gaussian,1.89773210237422e-05,3.41721728690599e-05,-1.52E-05,-1.61E-05,-1.43E-05,20,0.0001,60,1000,2000
175,Regular stationary Gaussian,2.01073716356008e-05,3.59330227933562e-05,-1.58E-05,-1.68E-05,-1.49E-05,20,0.0001,60,1000,2000
180,Regular stationary Gaussian,2.12713206313906e-05,3.77247207217803e-05,-1.65E-05,-1.74E-05,-1.55E-05,20,0.0001,60,1000,2000
185,Regular stationary Gaussian,2.24692421823316e-05,3.95464255548598e-05,-1.71E-05,-1.81E-05,-1.61E-05,20,0.0001,60,1000,2000
190,Regular stationary Gaussian,2.37014550016592e-05,4.13976672170742e-05,-1.77E-05,-1.87E-05,-1.67E-05,20,0.0001,60,1000,2000
195,Regular stationary Gaussian,2.49678139354439e-05,4.32767671417932e-05,-1.83E-05,-1.94E-05,-1.72E-05,20,0.0001,60,1000,2000
200,Regular stationary Gaussian,2.62683604680078e-05,4.51837230516155e-05,-1.89E-05,-2.01E-05,-1.78E-05,20,0.0001,60,1000,2000
10,Severely ill-conditioned stationary Gaussian,5.21926069433534e-06,2.63072901975352e-06,2.58853167458182e-06,2.54696476009052e-06,2.63028099058602e-06,472929715.157553,0.0001,60,1000,2000
15,Severely ill-conditioned stationary Gaussian,5.11301830616006e-06,2.68743898622429e-06,2.42557931993577e-06,2.38352367045285e-06,2.46829498803038e-06,472929715.157553,0.0001,60,1000,2000
20,Severely ill-conditioned stationary Gaussian,4.96958381653518e-06,2.68994786780157e-06,2.27963594873361e-06,2.23762770695951e-06,2.32393740309404e-06,472929715.157553,0.0001,60,1000,2000
25,Severely ill-conditioned stationary Gaussian,4.8615382066143e-06,2.69005845748525e-06,2.17147974912905e-06,2.12774053580277e-06,2.21394041177034e-06,472929715.157553,0.0001,60,1000,2000
30,Severely ill-conditioned stationary Gaussian,4.78388633585119e-06,2.69006333134387e-06,2.09382300450733e-06,2.05185016747399e-06,2.13718604804216e-06,472929715.157553,0.0001,60,1000,2000
