Ntr,environment,R0_ETO_pop_mean,R0_IEO_pop_mean,Delta_R,CI_low,CI_high,cond_Sigma,lambda,T,Nev,S
40,Regular stationary Gaussian,3.94900354610739e-06,1.59930581170441e-05,-1.20E-05,-1.30E-05,-1.12E-05,20,0.0001,50,1000,2000
50,Regular stationary Gaussian,2.55427561632968e-06,6.51457828402199e-06,-3.96E-06,-4.27E-06,-3.70E-06,20,0.0001,50,1000,2000
60,Regular stationary Gaussian,1.89004146068291e-06,3.8555682050837e-06,-1.97E-06,-2.07E-06,-1.86E-06,20,0.0001,50,1000,2000
80,Regular stationary Gaussian,1.23570801555123e-06,1.95521933322903e-06,-7.20E-07,-7.56E-07,-6.82E-07,20,0.0001,50,1000,2000
100,Regular stationary Gaussian,9.05912804902864e-07,1.28135374119321e-06,-3.75E-07,-3.94E-07,-3.57E-07,20,0.0001,50,1000,2000
120,Regular stationary Gaussian,7.08682047673324e-07,9.34470347441705e-07,-2.26E-07,-2.37E-07,-2.14E-07,20,0.0001,50,1000,2000
160,Regular stationary Gaussian,5.03601545431443e-07,6.12706231668616e-07,-1.09E-07,-1.15E-07,-1.03E-07,20,0.0001,50,1000,2000
200,Regular stationary Gaussian,3.93872825005117e-07,4.56945820809003e-07,-6.31E-08,-6.70E-08,-5.95E-08,20,0.0001,50,1000,2000
240,Regular stationary Gaussian,3.22557365831425e-07,3.64791221937658e-07,-4.22E-08,-4.48E-08,-3.97E-08,20,0.0001,50,1000,2000
320,Regular stationary Gaussian,2.34217119937796e-07,2.55789214916212e-07,-2.16E-08,-2.32E-08,-2.01E-08,20,0.0001,50,1000,2000
480,Regular stationary Gaussian,1.53068546117561e-07,1.6135183699586e-07,-8.28E-09,-9.06E-09,-7.51E-09,20,0.0001,50,1000,2000
40,Severely ill-conditioned stationary Gaussian,4.64793226499482e-06,2.87177295641662e-06,1.7761593085782e-06,1.72225432822502e-06,1.8296151210035e-06,472929715.157553,0.0001,50,1000,2000
50,Severely ill-conditioned stationary Gaussian,4.64860907386171e-06,2.75780991748877e-06,1.89079915637294e-06,1.84381965285206e-06,1.93851862359351e-06,472929715.157553,0.0001,50,1000,2000
60,Severely ill-conditioned stationary Gaussian,4.6488173557898e-06,2.70844245294662e-06,1.94037490284318e-06,1.89619423399552e-06,1.98311674177467e-06,472929715.157553,0.0001,50,1000,2000
80,Severely ill-conditioned stationary Gaussian,4.64923157849978e-06,2.62280264172138e-06,2.0264289367784e-06,1.98835918516186e-06,2.0659149810793e-06,472929715.157553,0.0001,50,1000,2000
100,Severely ill-conditioned stationary Gaussian,4.64900032850803e-06,2.54757294532973e-06,2.10142738317829e-06,2.06653978592439e-06,2.13463816048321e-06,472929715.157553,0.0001,50,1000,2000
120,Severely ill-conditioned stationary Gaussian,4.64781860166085e-06,2.50110968946517e-06,2.14670891219568e-06,2.11531720023129e-06,2.17772236883208e-06,472929715.157553,0.0001,50,1000,2000
160,Severely ill-conditioned stationary Gaussian,4.64792384022525e-06,2.46265618065533e-06,2.18526765956991e-06,2.15919218371144e-06,2.21167667239368e-06,472929715.157553,0.0001,50,1000,2000
200,Severely ill-conditioned stationary Gaussian,4.64735532305023e-06,2.43228890109899e-06,2.21506642195124e-06,2.19287764059451e-06,2.23811976051995e-06,472929715.157553,0.0001,50,1000,2000
240,Severely ill-conditioned stationary Gaussian,4.64765209674792e-06,2.41369035056902e-06,2.2339617461789e-06,2.21369694578828e-06,2.25440779505248e-06,472929715.157553,0.0001,50,1000,2000
320,Severely ill-conditioned stationary Gaussian,4.64767368562667e-06,2.39109636613969e-06,2.25657731948699e-06,2.23922688543502e-06,2.27410462020162e-06,472929715.157553,0.0001,50,1000,2000
480,Severely ill-conditioned stationary Gaussian,4.64790428735046e-06,2.37299660808097e-06,2.27490767926949e-06,2.26076722221041e-06,2.28884835185513e-06,472929715.157553,0.0001,50,1000,2000
